	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
4	29	999	Statewide	11	Finfish fishing	29	114111	2.0	1.0
13	29	999	Statewide	21	All other metal ore mining	29	212299	1.0	1.0
14	29	999	Statewide	21	All other nonmetallic mineral mining	29	212399	2.0	1.6
15	29	999	Statewide	21	Anthracite mining	29	212113	1.0	1.0
16	29	999	Statewide	21	Bituminous coal and lignite surface mining	29	212111	3.0	1.8
17	29	999	Statewide	21	Bituminous coal underground mining	29	212112	1.0	1.0
25	29	999	Statewide	21	Gold ore mining	29	212221	1.0	1.0
27	29	999	Statewide	21	Iron ore mining	29	212210	1.0	1.0
28	29	999	Statewide	21	Lead ore and zinc ore mining	29	212231	5.0	5.0
29	29	999	Statewide	21	Natural gas liquid extraction	29	211112	2.75	2.5
31	29	999	Statewide	21	Support activities for coal mining	29	213113	3.0	1.75
33	29	999	Statewide	21	Support activities for nonmetallic minerals (except fuels) mining	29	213115	2.2	1.4
35	29	999	Statewide	22	Biomass electric power generation	29	221117	1.0	1.0
39	29	999	Statewide	22	Hydroelectric power generation	29	221111	4.0	2.2
41	29	999	Statewide	22	Nuclear electric power generation	29	221113	1.2	1.2
44	29	999	Statewide	22	Steam and air-conditioning supply	29	221330	2.0	1.8
46	29	999	Statewide	22	Wind electric power generation	29	221115	1.0	1.2
83	29	999	Statewide	31	Beet sugar manufacturing	29	311313	1.0	1.0
84	29	999	Statewide	31	Bottled water manufacturing	29	312112	2.0	1.4
85	29	999	Statewide	31	Breakfast cereal manufacturing	29	311230	3.0	2.2
87	29	999	Statewide	31	Broadwoven fabric mills	29	313210	2.0	1.6
88	29	999	Statewide	31	Cane sugar manufacturing	29	311314	2.4	1.6
89	29	999	Statewide	31	Carpet and rug mills	29	314110	2.0	2.0
90	29	999	Statewide	31	Cheese manufacturing	29	311513	7.2	7.2
91	29	999	Statewide	31	Chocolate and confectionery manufacturing from cacao beans	29	311351	4.0	1.6
100	29	999	Statewide	31	Dried and dehydrated food manufacturing	29	311423	2.0	1.75
103	29	999	Statewide	31	Fabric coating mills	29	313320	6.0	2.2
105	29	999	Statewide	31	Fiber, yarn, and thread mills	29	313110	1.0	1.0
106	29	999	Statewide	31	Flavoring syrup and concentrate manufacturing	29	311930	3.0	1.4
110	29	999	Statewide	31	Frozen cakes, pies, and other pastries manufacturing	29	311813	2.2	2.2
111	29	999	Statewide	31	Frozen fruit, juice, and vegetable manufacturing	29	311411	2.0	2.0
114	29	999	Statewide	31	Hosiery and sock mills	29	315110	1.0	1.0
115	29	999	Statewide	31	Ice cream and frozen dessert manufacturing	29	311520	9.45	6.4
118	29	999	Statewide	31	Malt manufacturing	29	311213	1.0	1.0
122	29	999	Statewide	31	Narrow fabric mills and schiffli machine embroidery	29	313220	3.0	2.0
133	29	999	Statewide	31	Rice milling	29	311212	2.0	2.0
134	29	999	Statewide	31	Roasted nuts and peanut butter manufacturing	29	311911	2.0	1.6
135	29	999	Statewide	31	Rope, cordage, twine, tire cord, and tire fabric mills	29	314994	1.0	1.0
136	29	999	Statewide	31	Seafood product preparation and packaging	29	311710	1.0	1.0
139	29	999	Statewide	31	Specialty canning	29	311422	3.0	2.2
143	29	999	Statewide	31	Tobacco manufacturing	29	312230	3.0	1.6
144	29	999	Statewide	31	Tortilla manufacturing	29	311830	3.0	1.5
145	29	999	Statewide	31	Wet corn milling	29	311221	1.8	1.8
147	29	999	Statewide	31	Women's, girls', and infants' cut and sew apparel manufacturing	29	315240	8.2	4.2
148	29	999	Statewide	32	Abrasive product manufacturing	29	327910	3.0	3.0
155	29	999	Statewide	32	All other petroleum and coal products manufacturing	29	324199	5.0	3.2
158	29	999	Statewide	32	Artificial and synthetic fibers and filaments manufacturing	29	325220	1.0	1.0
174	29	999	Statewide	32	Engineered wood member (except truss) manufacturing	29	321213	4.0	2.6
176	29	999	Statewide	32	Explosives manufacturing	29	325920	1.0	1.0
179	29	999	Statewide	32	Glass container manufacturing	29	327213	3.0	1.6
182	29	999	Statewide	32	Gypsum product manufacturing	29	327420	3.0	2.8
183	29	999	Statewide	32	Hardwood veneer and plywood manufacturing	29	321211	1.0	1.0
188	29	999	Statewide	32	Manufactured home (mobile home) manufacturing	29	321991	3.0	1.75
198	29	999	Statewide	32	Paper (except newsprint) mills	29	322121	1.0	1.0
203	29	999	Statewide	32	Petroleum refineries	29	324110	2.0	1.5
205	29	999	Statewide	32	Phosphatic fertilizer manufacturing	29	325312	3.0	2.2
219	29	999	Statewide	32	Reconstituted wood product manufacturing	29	321219	3.0	2.2
226	29	999	Statewide	32	Synthetic dye and pigment manufacturing	29	325130	2.2	2.2
227	29	999	Statewide	32	Synthetic rubber manufacturing	29	325212	1.0	1.0
241	29	999	Statewide	33	Aircraft manufacturing	29	336411	5.75	4.6
247	29	999	Statewide	33	Alumina refining and primary aluminum production	29	331313	2.0	1.2
249	29	999	Statewide	33	Aluminum sheet, plate, and foil manufacturing	29	331315	2.0	2.0
250	29	999	Statewide	33	Ammunition (except small arms) manufacturing	29	332993	2.0	2.0
255	29	999	Statewide	33	Ball and roller bearing manufacturing	29	332991	1.0	1.0
256	29	999	Statewide	33	Bare printed circuit board manufacturing	29	334412	3.0	2.6
257	29	999	Statewide	33	Blind and shade manufacturing	29	337920	2.0	1.2
261	29	999	Statewide	33	Capacitor, resistor, coil, transformer, and other inductor manufacturing	29	334416	2.0	1.2
262	29	999	Statewide	33	Carbon and graphite product manufacturing	29	335991	3.0	1.8
