	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	GEO_ID	estab	emp	payann
0	24	999	Statewide	11	Fishing	24	1141	0500000US240050500000US240050500000US240170500000US240170500000US240190500000US240190500000US240370500000US240370500000US240390500000US240390500000US240410500000US240410500000US240450500000US240450500000US240470500000US24047	41.51190476190476	7.178571428571429	309.3571428571429
1	24	999	Statewide	11	Forest nurseries and gathering of forest products	24	1132	0500000US240170500000US240170500000US240250500000US24041	4.0	0.0	0.0
2	24	999	Statewide	11	Hunting and trapping	24	1142	0500000US240110500000US240190500000US240190500000US240310500000US240310500000US240330500000US240330500000US240350500000US240350500000US240410500000US240410500000US24047	14.0	0.0	0.0
3	24	999	Statewide	11	Logging	24	1133	0500000US240010500000US240010500000US240030500000US240110500000US240110500000US240130500000US240130500000US240150500000US240150500000US240170500000US240170500000US240210500000US240210500000US240230500000US240230500000US240250500000US240290500000US240290500000US240350500000US240350500000US240370500000US240370500000US240390500000US240390500000US240410500000US240410500000US240450500000US240450500000US240470500000US24047	87.375	138.375	5979.375
4	24	999	Statewide	11	Support activities for animal production	24	1152	0500000US240030500000US240030500000US240050500000US240050500000US240110500000US240110500000US240130500000US240130500000US240150500000US240150500000US240170500000US240170500000US240210500000US240210500000US240230500000US240250500000US240250500000US240270500000US240270500000US240310500000US240310500000US240330500000US240330500000US240350500000US240350500000US240370500000US240390500000US240410500000US240410500000US240430500000US240430500000US240450500000US240450500000US240470500000US24047	175.34761904761905	575.7535714285714	20474.0
5	24	999	Statewide	11	Support activities for crop production	24	1151	0500000US240010500000US240010500000US240050500000US240090500000US240090500000US240110500000US240110500000US240150500000US240150500000US240190500000US240190500000US240210500000US240210500000US240250500000US240250500000US240270500000US240270500000US240290500000US240290500000US240310500000US240310500000US240330500000US240350500000US240370500000US240370500000US240430500000US240450500000US240470500000US24047	40.65833333333333	72.59166666666667	3321.6416666666664
6	24	999	Statewide	11	Support activities for forestry	24	1153	0500000US240010500000US240010500000US240090500000US240090500000US240150500000US240150500000US240210500000US240210500000US240250500000US240270500000US240270500000US240310500000US240310500000US240330500000US240330500000US240450500000US24045	21.25	8.833333333333334	728.0
7	24	999	Statewide	11	Timber tract operations	24	1131	0500000US240010500000US240010500000US240210500000US240210500000US240230500000US240230500000US240310500000US24031	8.0	0.0	0.0
8	24	999	Statewide	21	Coal mining	24	2121	0500000US240010500000US240010500000US240230500000US240230500000US24031	18.875	624.375	39605.125
9	24	999	Statewide	21	Metal ore mining	24	2122	0500000US24005	1.0	0.0	0.0
10	24	999	Statewide	21	Nonmetallic mineral mining and quarrying	24	2123	0500000US240010500000US240010500000US240030500000US240030500000US240050500000US240050500000US240090500000US240110500000US240110500000US240130500000US240130500000US240150500000US240150500000US240170500000US240170500000US240190500000US240190500000US240210500000US240210500000US240230500000US240230500000US240250500000US240250500000US240270500000US240270500000US240290500000US240290500000US240310500000US240310500000US240330500000US240330500000US240350500000US240370500000US240370500000US240430500000US240430500000US240450500000US240450500000US240470500000US240470500000US24510	92.5047619047619	407.5095238095238	31587.938095238096
11	24	999	Statewide	21	Oil and gas extraction	24	2111	0500000US240030500000US240470500000US24047	3.0	0.0	0.0
12	24	999	Statewide	21	Support activities for mining	24	2131	0500000US240010500000US240010500000US240030500000US240030500000US240050500000US240050500000US240130500000US240130500000US240170500000US240190500000US240230500000US240230500000US240250500000US240250500000US240270500000US240270500000US240290500000US240310500000US240310500000US240370500000US240410500000US24510	34.46666666666667	1.2	1247.95
13	24	999	Statewide	22	Electric power generation, transmission and distribution	24	2211	0500000US240010500000US240010500000US240030500000US240030500000US240050500000US240050500000US240090500000US240090500000US240110500000US240110500000US240130500000US240130500000US240150500000US240150500000US240170500000US240170500000US240190500000US240190500000US240210500000US240210500000US240230500000US240230500000US240250500000US240250500000US240270500000US240270500000US240290500000US240290500000US240310500000US240310500000US240330500000US240330500000US240350500000US240350500000US240370500000US240370500000US240390500000US240390500000US240410500000US240410500000US240430500000US240430500000US240450500000US240450500000US240470500000US240470500000US245100500000US24510	226.075	3474.747619047619	463393.14642857143
14	24	999	Statewide	22	Natural gas distribution	24	2212	0500000US240010500000US240010500000US240030500000US240030500000US240050500000US240050500000US240090500000US240090500000US240150500000US240150500000US240310500000US240430500000US240430500000US240450500000US240450500000US240470500000US240470500000US245100500000US24510	26.97142857142857	154.9142857142857	16761.114285714284
