	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
16	22	999	Statewide	21	Bituminous coal and lignite surface mining	22	212111	2.8	2.8
17	22	999	Statewide	21	Bituminous coal underground mining	22	212112	1.0	1.0
18	22	999	Statewide	21	Clay and ceramic and refractory minerals mining	22	212325	1.0	1.0
24	22	999	Statewide	21	Iron ore mining	22	212210	1.0	1.0
27	22	999	Statewide	21	Other crushed and broken stone mining and quarrying	22	212319	3.0	2.2
28	22	999	Statewide	21	Potash, soda, and borate mineral mining	22	212391	1.0	1.0
30	22	999	Statewide	21	Support activities for metal mining	22	213114	1.0	1.8
31	22	999	Statewide	21	Support activities for nonmetallic minerals (except fuels) mining	22	213115	5.2	3.0
33	22	999	Statewide	22	Biomass electric power generation	22	221117	1.0	1.0
37	22	999	Statewide	22	Hydroelectric power generation	22	221111	1.8	1.8
39	22	999	Statewide	22	Nuclear electric power generation	22	221113	9.2	8.4
40	22	999	Statewide	22	Other electric power generation	22	221118	1.0	1.0
42	22	999	Statewide	22	Steam and air-conditioning supply	22	221330	1.0	1.0
75	22	999	Statewide	31	All other leather good and allied product manufacturing	22	316998	5.0	3.8
82	22	999	Statewide	31	Broadwoven fabric mills	22	313210	2.0	1.2
84	22	999	Statewide	31	Carpet and rug mills	22	314110	1.0	1.0
85	22	999	Statewide	31	Cheese manufacturing	22	311513	1.0	1.0
86	22	999	Statewide	31	Chocolate and confectionery manufacturing from cacao beans	22	311351	2.0	1.5
94	22	999	Statewide	31	Dog and cat food manufacturing	22	311111	1.0	1.0
97	22	999	Statewide	31	Fabric coating mills	22	313320	2.0	2.0
98	22	999	Statewide	31	Fats and oils refining and blending	22	311225	1.0	1.0
99	22	999	Statewide	31	Fiber, yarn, and thread mills	22	313110	2.0	1.2
100	22	999	Statewide	31	Flavoring syrup and concentrate manufacturing	22	311930	3.6	3.4
103	22	999	Statewide	31	Frozen fruit, juice, and vegetable manufacturing	22	311411	2.0	2.0
106	22	999	Statewide	31	Ice cream and frozen dessert manufacturing	22	311520	3.0	1.6
108	22	999	Statewide	31	Leather and hide tanning and finishing	22	316110	3.0	1.6
116	22	999	Statewide	31	Other snack food manufacturing	22	311919	2.0	1.2
122	22	999	Statewide	31	Rope, cordage, twine, tire cord, and tire fabric mills	22	314994	2.0	1.8
124	22	999	Statewide	31	Soft drink manufacturing	22	312111	3.0	2.4
125	22	999	Statewide	31	Soybean and other oilseed processing	22	311224	4.0	2.6
126	22	999	Statewide	31	Specialty canning	22	311422	2.0	2.0
130	22	999	Statewide	31	Tobacco manufacturing	22	312230	1.0	1.0
131	22	999	Statewide	31	Tortilla manufacturing	22	311830	2.0	1.2
132	22	999	Statewide	31	Wet corn milling	22	311221	2.0	1.2
135	22	999	Statewide	32	Abrasive product manufacturing	22	327910	3.0	1.3333333333333333
146	22	999	Statewide	32	Asphalt shingle and coating materials manufacturing	22	324122	2.0	1.2
147	22	999	Statewide	32	Biological product (except diagnostic) manufacturing	22	325414	3.666666666666667	3.0
148	22	999	Statewide	32	Books printing	22	323117	1.0	1.0
149	22	999	Statewide	32	Cement manufacturing	22	327310	3.0	1.0
160	22	999	Statewide	32	Engineered wood member (except truss) manufacturing	22	321213	4.0	3.2
161	22	999	Statewide	32	Ethyl alcohol manufacturing	22	325193	1.5	1.5
163	22	999	Statewide	32	Fertilizer (mixing only) manufacturing	22	325314	3.0	2.2
165	22	999	Statewide	32	Glass container manufacturing	22	327213	1.0	1.0
168	22	999	Statewide	32	Gypsum product manufacturing	22	327420	4.0	3.4
169	22	999	Statewide	32	Hardwood veneer and plywood manufacturing	22	321211	1.0	1.0
171	22	999	Statewide	32	Laminated plastics plate, sheet (except packaging), and shape manufacturing	22	326130	1.0	1.0
172	22	999	Statewide	32	Lime manufacturing	22	327410	2.0	1.6
174	22	999	Statewide	32	Medicinal and botanical manufacturing	22	325411	2.0	1.2
175	22	999	Statewide	32	Mineral wool manufacturing	22	327993	5.0	3.8
176	22	999	Statewide	32	Nitrogenous fertilizer manufacturing	22	325311	5.6	4.0
181	22	999	Statewide	32	Other pressed and blown glass and glassware manufacturing	22	327212	1.0	1.0
183	22	999	Statewide	32	Paper (except newsprint) mills	22	322121	1.0	1.0
186	22	999	Statewide	32	Pesticide and other agricultural chemical manufacturing	22	325320	5.0	3.2
191	22	999	Statewide	32	Phosphatic fertilizer manufacturing	22	325312	3.0	3.0
200	22	999	Statewide	32	Pottery, ceramics, and plumbing fixture manufacturing	22	327110	2.0	1.2
202	22	999	Statewide	32	Printing ink manufacturing	22	325910	2.0	2.0
205	22	999	Statewide	32	Rubber and plastics hoses and belting manufacturing	22	326220	2.0	1.2
210	22	999	Statewide	32	Stationery product manufacturing	22	322230	4.4	3.0
212	22	999	Statewide	32	Surface active agent manufacturing	22	325613	3.0	3.0
213	22	999	Statewide	32	Synthetic dye and pigment manufacturing	22	325130	2.0	1.8
215	22	999	Statewide	32	Tire manufacturing (except retreading)	22	326211	1.0	1.0
216	22	999	Statewide	32	Tire retreading	22	326212	5.0	4.8
220	22	999	Statewide	32	Unlaminated plastics profile shape manufacturing	22	326121	1.0	1.0
227	22	999	Statewide	33	Aircraft engine and engine parts manufacturing	22	336412	1.0	1.0
228	22	999	Statewide	33	Aircraft manufacturing	22	336411	5.0	3.8
236	22	999	Statewide	33	Aluminum sheet, plate, and foil manufacturing	22	331315	1.0	1.0
237	22	999	Statewide	33	Analytical laboratory instrument manufacturing	22	334516	2.0	2.0
238	22	999	Statewide	33	Audio and video equipment manufacturing	22	334310	4.5	3.0
239	22	999	Statewide	33	Automatic environmental control manufacturing for residential, commercial, and appliance use	22	334512	3.0	2.4
240	22	999	Statewide	33	Automobile manufacturing	22	336111	2.0	1.2
244	22	999	Statewide	33	Burial casket manufacturing	22	339995	3.0	3.0
245	22	999	Statewide	33	Carbon and graphite product manufacturing	22	335991	1.0	1.0
246	22	999	Statewide	33	Commercial, industrial, and institutional electric lighting fixture manufacturing	22	335122	3.4	2.8
247	22	999	Statewide	33	Computer terminal and other computer peripheral equipment manufacturing	22	334118	1.0	1.0
249	22	999	Statewide	33	Conveyor and conveying equipment manufacturing	22	333922	3.0	3.0
250	22	999	Statewide	33	Current-carrying wiring device manufacturing	22	335931	2.0	1.0
256	22	999	Statewide	33	Electric lamp bulb and part manufacturing	22	335110	1.0	1.0
257	22	999	Statewide	33	Electromedical and electrotherapeutic apparatus manufacturing	22	334510	1.0	1.0
269	22	999	Statewide	33	Heating equipment (except warm air furnaces) manufacturing	22	333414	2.0	1.8
270	22	999	Statewide	33	Heavy duty truck manufacturing	22	336120	1.0	1.0
271	22	999	Statewide	33	Household cooking appliance manufacturing	22	335221	2.0	1.5
272	22	999	Statewide	33	Household furniture (except wood and metal) manufacturing	22	337125	2.0	1.8
273	22	999	Statewide	33	Industrial and commercial fan and blower and air purification equipment manufacturing	22	333413	1.0	1.0
274	22	999	Statewide	33	Industrial mold manufacturing	22	333511	2.0	1.5
276	22	999	Statewide	33	Industrial truck, trailer, and stacker machinery manufacturing	22	333924	2.0	1.25
279	22	999	Statewide	33	Instrument manufacturing for measuring and testing electricity and electrical systems	22	334515	3.0	1.6
281	22	999	Statewide	33	Iron and steel forging	22	332111	4.0	3.2
284	22	999	Statewide	33	Iron foundries	22	331511	1.0	1.0
285	22	999	Statewide	33	Irradiation apparatus manufacturing	22	334517	3.0	2.2
287	22	999	Statewide	33	Light truck and utility vehicle manufacturing	22	336112	1.0	1.0
290	22	999	Statewide	33	Mattress manufacturing	22	337910	1.0	1.0
291	22	999	Statewide	33	Mechanical power transmission equipment manufacturing	22	333613	2.0	2.0
293	22	999	Statewide	33	Metal crown, closure, and other metal stamping (except automotive)	22	332119	2.0	2.0
295	22	999	Statewide	33	Metal household furniture manufacturing	22	337124	3.0	1.25
296	22	999	Statewide	33	Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing	22	332215	1.0	1.0
299	22	999	Statewide	33	Military armored vehicle, tank, and tank component manufacturing	22	336992	2.25	1.75
300	22	999	Statewide	33	Mining machinery and equipment manufacturing	22	333131	4.0	2.2
302	22	999	Statewide	33	Motor vehicle body manufacturing	22	336211	3.5	2.2
303	22	999	Statewide	33	Motor vehicle brake system manufacturing	22	336340	2.0	2.0
306	22	999	Statewide	33	Motor vehicle seating and interior trim manufacturing	22	336360	2.0	1.6
308	22	999	Statewide	33	Motor vehicle transmission and power train parts manufacturing	22	336350	4.0	3.2
309	22	999	Statewide	33	Motorcycle, bicycle, and parts manufacturing	22	336991	3.0	1.5
311	22	999	Statewide	33	Noncurrent-carrying wiring device manufacturing	22	335932	1.0	1.0
312	22	999	Statewide	33	Nonferrous metal (except aluminum) smelting and refining	22	331410	1.0	1.0
313	22	999	Statewide	33	Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying	22	331491	1.0	1.0
314	22	999	Statewide	33	Nonferrous metal die-casting foundries	22	331523	1.0	1.0
316	22	999	Statewide	33	Office furniture (except wood) manufacturing	22	337214	2.0	2.0
320	22	999	Statewide	33	Optical instrument and lens manufacturing	22	333314	1.0	1.0
322	22	999	Statewide	33	Other aircraft parts and auxiliary equipment manufacturing	22	336413	2.4	1.6
323	22	999	Statewide	33	Other aluminum rolling, drawing, and extruding	22	331318	2.4	1.8
325	22	999	Statewide	33	Other communications equipment manufacturing	22	334290	1.0	1.0
326	22	999	Statewide	33	Other electronic component manufacturing	22	334419	3.0	1.6
329	22	999	Statewide	33	Other guided missile and space vehicle parts and auxiliary equipment manufacturing	22	336419	1.0	1.0
331	22	999	Statewide	33	Other lighting equipment manufacturing	22	335129	1.0	1.0
334	22	999	Statewide	33	Other metal valve and pipe fitting manufacturing	22	332919	2.0	1.2
337	22	999	Statewide	33	Packaging machinery manufacturing	22	333993	1.0	1.0
338	22	999	Statewide	33	Photographic and photocopying equipment manufacturing	22	333316	1.0	1.0
340	22	999	Statewide	33	Powder metallurgy part manufacturing	22	332117	1.0	1.0
346	22	999	Statewide	33	Primary battery manufacturing	22	335912	1.0	1.0
347	22	999	Statewide	33	Printed circuit assembly (electronic assembly) manufacturing	22	334418	1.5	1.5
348	22	999	Statewide	33	Printing machinery and equipment manufacturing	22	333244	2.0	1.2
351	22	999	Statewide	33	Railroad rolling stock manufacturing	22	336510	3.0	2.2
353	22	999	Statewide	33	Residential electric lighting fixture manufacturing	22	335121	4.0	2.8
354	22	999	Statewide	33	Rolling mill and other metalworking machinery manufacturing	22	333519	2.0	1.2
358	22	999	Statewide	33	Semiconductor and related device manufacturing	22	334413	4.6	3.8
361	22	999	Statewide	33	Showcase, partition, shelving, and locker manufacturing	22	337215	3.0	1.4
363	22	999	Statewide	33	Small arms ammunition manufacturing	22	332992	3.0	1.0
364	22	999	Statewide	33	Small arms, ordnance, and ordnance accessories manufacturing	22	332994	2.0	2.0
