	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
0	19	999	Statewide	11	Cotton ginning	19	115111	2.0	1.0
4	19	999	Statewide	11	Forest nurseries and gathering of forest products	19	113210	2.0	1.0
11	19	999	Statewide	11	Timber tract operations	19	113110	3.0	1.25
14	19	999	Statewide	21	Crude petroleum and natural gas extraction	19	211111	2.0	1.25
15	19	999	Statewide	21	Crushed and broken granite mining and quarrying	19	212313	3.0	1.2
19	19	999	Statewide	21	Industrial sand mining	19	212322	6.25	3.2
23	19	999	Statewide	22	Biomass electric power generation	19	221117	1.0	1.0
24	19	999	Statewide	22	Electric bulk power transmission and control	19	221121	7.0	2.2
27	19	999	Statewide	22	Hydroelectric power generation	19	221111	8.0	3.2222222222222223
29	19	999	Statewide	22	Nuclear electric power generation	19	221113	2.25	1.2
31	19	999	Statewide	22	Sewage treatment facilities	19	221320	14.5	5.666666666666667
32	19	999	Statewide	22	Solar electric power generation	19	221114	2.0	1.0
66	19	999	Statewide	31	All other leather good and allied product manufacturing	19	316998	9.0	2.8
71	19	999	Statewide	31	Beet sugar manufacturing	19	311313	3.0	1.6
75	19	999	Statewide	31	Carpet and rug mills	19	314110	2.0	1.0
77	19	999	Statewide	31	Chocolate and confectionery manufacturing from cacao beans	19	311351	1.0	1.0
85	19	999	Statewide	31	Dog and cat food manufacturing	19	311111	22.0	11.0
86	19	999	Statewide	31	Dried and dehydrated food manufacturing	19	311423	2.0	1.0
91	19	999	Statewide	31	Flavoring syrup and concentrate manufacturing	19	311930	1.0	1.0
94	19	999	Statewide	31	Footwear manufacturing	19	316210	2.0	1.0
95	19	999	Statewide	31	Frozen cakes, pies, and other pastries manufacturing	19	311813	8.0	3.2222222222222223
96	19	999	Statewide	31	Frozen fruit, juice, and vegetable manufacturing	19	311411	3.0	1.8
98	19	999	Statewide	31	Fruit and vegetable canning	19	311421	12.25	5.333333333333333
99	19	999	Statewide	31	Hosiery and sock mills	19	315110	2.0	1.0
100	19	999	Statewide	31	Ice cream and frozen dessert manufacturing	19	311520	9.0	3.3333333333333335
