Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
30507,31-33,18,001,0,2
30507,31-33,3,210,0,2
30507,31-33,7,220,0,2
30507,42,31,001,0,2
30507,42,10,210,0,2
30507,42,9,220,0,2
30507,42,8,230,0,2
30507,44-45,44,001,0,2
30507,44-45,18,210,0,2
30507,44-45,14,220,0,2
30507,44-45,7,230,0,2
30507,44-45,4,241,0,2
30507,48-49,24,001,0,2
30507,48-49,9,210,0,2
30507,48-49,3,220,0,2
30507,48-49,3,242,0,2
30507,48-49,6,251,0,2
30507,51,4,001,0,2
30507,52,6,001,0,2
30507,52,3,210,0,2
30507,53,10,001,0,2
30507,53,9,210,0,2
30507,54,15,001,0,2
30507,54,11,210,0,2
30507,56,15,001,0,2
30507,56,7,210,0,2
30507,56,3,230,0,2
30507,62,12,001,0,2
30507,62,4,210,0,2
30507,62,4,230,0,2
30507,72,10,001,0,2
30507,72,4,210,0,2
30507,72,4,241,0,2
30507,81,38,001,0,2
30507,81,19,210,0,2
30507,81,15,220,0,2
30507,00,279,001,277183,2
30507,00,132,210,0,2
30507,00,61,220,0,2
30507,00,36,230,0,2
30507,00,23,241,0,2
30507,00,14,242,0,2
30507,00,10,251,0,2
30507,23,47,001,0,2
30507,23,33,210,0,2
30507,23,6,220,0,2
30507,23,4,241,0,2
30507,23,3,242,0,2
