"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Franklinton","https://www.facebook.com/3DBlueberryFarm","30.870116","-90.215454","3D Blueberry Farm","LA","41031 Highway 1056","","","farm","http://www.3dblueberries.com","70438"
"Colfax","","31.581305","-92.767632","Amazing Grace Farms LLC","LA","4423 Hwy 71","eggs fresh-fruits fresh-vegetables","","farm","","71417"
"Abbeville","www.facebook.com/BrookshireFarm/","30.022235","-92.187864","Brookshire Farm Grassfed Beef","LA","8916 Brookshire rd","red-meat non-poultry-meat","","farm","brookshirefarm.com","70510"
"Pollock","https://m.facebook.com/butterfieldfarm?ref=bookmark","31.4804015","-92.4766174","Butterfield Farms","LA","228 Butterfield Lane","poultry fowl red-meat non-poultry-meat","","farm","www.butterfieldfarm.net","71467"
"Centerville","Faith Broussard  (Community page; Garden Creations)","29.749968","-91.396326","Garden Creations","LA","7095 Highway 182","canned preserved fresh-fruits fresh-vegetables honey","","farm","","70522"
"LEESVILLE","","30.940726","-93.308000","Hawkes Farm","LA","373 J B H LANE   (Hawks Road)","nuts","","farm","","71446"
"Ringgold","Hebler Organically Grown Blueberries","32.2625005","-93.3548274","Hebler Organically Grown Blueberry Farm","LA","362 Firetower Road","","","farm","","71068"
"Haughton","","32.5492540","-93.4864270","Heirloom Farms","LA","895 Allen Town Rd","","","farm","","71037"
"Deridder","","30.767252","-93.223202","Hill Crest Creamery","LA","635 Willow Branch Rd","baked-goods dairy products eggs","","farm","https://hillcrestcreamery.net/","70634"
"New Orleans","https://www.facebook.com/NolaTilth","30.040159","-89.918309","Nola Tilth","LA","14000 Dwyer Blvd.","cut-flowers fresh-vegetables","","farm","www.nolatilth.com","70129"
"Point Blue Farm L.L.C Ville Platte","","30.623713","-92.291851","Point Blue Farm L.L.C Stand","LA","125 Prarie Rhonde Road","baked-goods bedding plants canned preserved crafts woodworking eggs herbs fresh-fruits fresh-vegetables honey nuts prepared-foods soap body-care","","farm","","70586"
"Church Point","https://www.facebook.com/Robinfarms","30.4823000","-92.1982822","Robin Farms","LA","317 Houston Richard Road","cut-flowers fresh-fruits fresh-vegetables","","farm","Www.robinfarms.com","70525"
"Alexandria","https://www.facebook.com/rosaliepecans","31.203029","-92.414811","Rosalie Pecans","LA","63 Rosalie Road","nuts","","farm","www.shop.rosaliepecans.com","71302"
