	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
1	47	999	Statewide	11	Crop harvesting, primarily by machine	47	115113	3.0	1.25
2	47	999	Statewide	11	Farm labor contractors and crew leaders	47	115115	4.0	1.4
4	47	999	Statewide	11	Finfish fishing	47	114111	3.0	1.25
7	47	999	Statewide	11	Postharvest crop activities (except cotton ginning)	47	115114	8.0	4.0
12	47	999	Statewide	21	All other nonmetallic mineral mining	47	212399	4.0	1.6
14	47	999	Statewide	21	Bituminous coal underground mining	47	212112	5.0	2.6
16	47	999	Statewide	21	Copper ore and nickel ore mining	47	212234	1.0	1.0
23	47	999	Statewide	21	Lead ore and zinc ore mining	47	212231	4.0	2.0
24	47	999	Statewide	21	Natural gas liquid extraction	47	211112	2.0	1.0
30	47	999	Statewide	22	Fossil fuel electric power generation	47	221112	1.0	1.0
31	47	999	Statewide	22	Hydroelectric power generation	47	221111	3.25	1.4
33	47	999	Statewide	22	Nuclear electric power generation	47	221113	1.0	1.0
34	47	999	Statewide	22	Other electric power generation	47	221118	3.0	1.2
36	47	999	Statewide	22	Solar electric power generation	47	221114	2.0	1.0
37	47	999	Statewide	22	Steam and air-conditioning supply	47	221330	1.0	1.0
39	47	999	Statewide	22	Wind electric power generation	47	221115	1.0	1.0
77	47	999	Statewide	31	Breakfast cereal manufacturing	47	311230	4.0	2.0
91	47	999	Statewide	31	Dried and dehydrated food manufacturing	47	311423	2.0	1.0
93	47	999	Statewide	31	Dry, condensed, and evaporated dairy product manufacturing	47	311514	1.0	1.0
97	47	999	Statewide	31	Flavoring syrup and concentrate manufacturing	47	311930	4.0	1.4
98	47	999	Statewide	31	Flour milling	47	311211	9.0	4.2
102	47	999	Statewide	31	Frozen fruit, juice, and vegetable manufacturing	47	311411	4.0	1.2
109	47	999	Statewide	31	Leather and hide tanning and finishing	47	316110	5.0	2.2
113	47	999	Statewide	31	Narrow fabric mills and schiffli machine embroidery	47	313220	3.5	1.6
117	47	999	Statewide	31	Other apparel knitting mills	47	315190	10.0	4.8
119	47	999	Statewide	31	Other snack food manufacturing	47	311919	11.5	5.2
124	47	999	Statewide	31	Rice milling	47	311212	2.0	1.0
125	47	999	Statewide	31	Roasted nuts and peanut butter manufacturing	47	311911	3.0	1.0
126	47	999	Statewide	31	Rope, cordage, twine, tire cord, and tire fabric mills	47	314994	10.0	4.4
129	47	999	Statewide	31	Soybean and other oilseed processing	47	311224	3.0	1.8
130	47	999	Statewide	31	Specialty canning	47	311422	4.0	2.0
135	47	999	Statewide	31	Tortilla manufacturing	47	311830	2.0	1.0
136	47	999	Statewide	31	Wet corn milling	47	311221	4.0	2.0
138	47	999	Statewide	31	Women's handbag and purse manufacturing	47	316992	5.0	2.2
147	47	999	Statewide	32	All other petroleum and coal products manufacturing	47	324199	5.0	1.6666666666666667
