	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
1	37	999	Statewide	11	Crop harvesting, primarily by machine	37	115113	3.0	1.2
15	37	999	Statewide	21	Bituminous coal and lignite surface mining	37	212111	2.0	1.0
16	37	999	Statewide	21	Clay and ceramic and refractory minerals mining	37	212325	2.0	1.0
23	37	999	Statewide	21	Gold ore mining	37	212221	4.0	1.6666666666666667
25	37	999	Statewide	21	Natural gas liquid extraction	37	211112	2.0	1.0
27	37	999	Statewide	21	Support activities for coal mining	37	213113	3.0	1.3333333333333333
28	37	999	Statewide	21	Support activities for metal mining	37	213114	2.0	1.8
32	37	999	Statewide	22	Electric bulk power transmission and control	37	221121	24.333333333333332	11.0
36	37	999	Statewide	22	Natural gas distribution	37	221210	102.0	51.2
37	37	999	Statewide	22	Nuclear electric power generation	37	221113	23.833333333333332	14.0
41	37	999	Statewide	22	Steam and air-conditioning supply	37	221330	2.0	2.0
80	37	999	Statewide	31	Breakfast cereal manufacturing	37	311230	3.0	1.2
83	37	999	Statewide	31	Cane sugar manufacturing	37	311314	1.0	1.0
86	37	999	Statewide	31	Chocolate and confectionery manufacturing from cacao beans	37	311351	8.25	2.4
91	37	999	Statewide	31	Creamery butter manufacturing	37	311512	1.0	1.0
96	37	999	Statewide	31	Dried and dehydrated food manufacturing	37	311423	5.0	1.75
98	37	999	Statewide	31	Dry, condensed, and evaporated dairy product manufacturing	37	311514	4.0	1.4
100	37	999	Statewide	31	Fats and oils refining and blending	37	311225	9.0	3.6
102	37	999	Statewide	31	Flavoring syrup and concentrate manufacturing	37	311930	1.0	1.0
105	37	999	Statewide	31	Footwear manufacturing	37	316210	5.0	2.2
134	37	999	Statewide	31	Soybean and other oilseed processing	37	311224	8.0	3.4
141	37	999	Statewide	31	Wet corn milling	37	311221	4.0	2.0
143	37	999	Statewide	31	Women's handbag and purse manufacturing	37	316992	6.0	2.0
152	37	999	Statewide	32	All other petroleum and coal products manufacturing	37	324199	1.0	1.0
157	37	999	Statewide	32	Asphalt shingle and coating materials manufacturing	37	324122	8.0	2.8
170	37	999	Statewide	32	Cyclic crude, intermediate, and gum and wood chemical manufacturing	37	325194	2.0	1.0
172	37	999	Statewide	32	Ethyl alcohol manufacturing	37	325193	2.0	1.0
173	37	999	Statewide	32	Explosives manufacturing	37	325920	1.0	1.0
175	37	999	Statewide	32	Flat glass manufacturing	37	327211	5.0	2.8
177	37	999	Statewide	32	Glass container manufacturing	37	327213	6.0	3.0
188	37	999	Statewide	32	Nitrogenous fertilizer manufacturing	37	325311	3.0	1.25
199	37	999	Statewide	32	Petrochemical manufacturing	37	325110	4.0	2.0
201	37	999	Statewide	32	Petroleum refineries	37	324110	2.0	1.5
203	37	999	Statewide	32	Phosphatic fertilizer manufacturing	37	325312	3.0	1.2
204	37	999	Statewide	32	Photographic film, paper, plate, and chemical manufacturing	37	325992	21.0	9.6
224	37	999	Statewide	32	Softwood veneer and plywood manufacturing	37	321212	2.0	1.0
240	37	999	Statewide	33	Air and gas compressor manufacturing	37	333912	4.0	2.0
256	37	999	Statewide	33	Automobile manufacturing	37	336111	5.0	2.6
259	37	999	Statewide	33	Blank magnetic and optical recording media manufacturing	37	334613	4.0	1.4
263	37	999	Statewide	33	Broom, brush, and mop manufacturing	37	339994	10.25	4.6
264	37	999	Statewide	33	Burial casket manufacturing	37	339995	4.0	2.0
268	37	999	Statewide	33	Computer storage device manufacturing	37	334112	5.5	2.6
280	37	999	Statewide	33	Electric lamp bulb and part manufacturing	37	335110	6.0	1.8
