Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
28716,621,9,1,0,3
28716,621,6,210,0,3
28716,624,6,1,0,3
28716,713,3,1,0,3
28716,721,6,1,0,3
28716,721,4,210,0,3
28716,722,24,1,0,3
28716,722,4,220,0,3
28716,722,9,230,0,3
28716,722,7,241,0,3
28716,722,3,242,0,3
28716,811,11,1,0,3
28716,811,7,210,0,3
28716,812,6,1,0,3
28716,812,3,220,0,3
28716,813,28,1,0,3
28716,813,21,210,0,3
28716,813,5,220,0,3
28716,236,9,1,0,3
28716,236,8,210,0,3
28716,238,20,1,0,3
28716,237,5,1,0,3
28716,238,15,210,0,3
28716,238,3,220,0,3
28716,423,9,1,0,3
28716,423,3,210,0,3
28716,423,5,220,0,3
28716,441,7,1,0,3
28716,441,4,220,0,3
28716,445,8,1,0,3
28716,445,3,210,0,3
28716,447,10,1,0,3
28716,447,7,230,0,3
28716,452,3,1,0,3
28716,453,4,1,0,3
28716,517,3,1,0,3
28716,522,3,1,0,3
28716,524,3,1,0,3
28716,531,6,1,0,3
28716,531,5,210,0,3
28716,541,23,1,0,3
28716,541,17,210,0,3
28716,541,3,220,0,3
28716,541,3,230,0,3
28716,561,11,1,0,3
28716,561,8,210,0,3
28716,562,3,1,0,3
28716,611,3,1,0,3
