	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
0	25	999	Statewide	11	Cotton ginning	25	115111	1.0	1.0
1	25	999	Statewide	11	Farm labor contractors and crew leaders	25	115115	3.0	1.2
14	25	999	Statewide	21	Clay and ceramic and refractory minerals mining	25	212325	2.0	1.0
16	25	999	Statewide	21	Copper ore and nickel ore mining	25	212234	2.0	1.0
22	25	999	Statewide	21	Industrial sand mining	25	212322	1.0	1.0
24	25	999	Statewide	21	Support activities for metal mining	25	213114	1.0	1.2
26	25	999	Statewide	21	Support activities for oil and gas operations	25	213112	10.5	6.111111111111111
28	25	999	Statewide	22	Electric bulk power transmission and control	25	221121	4.0	1.6
77	25	999	Statewide	31	Breakfast cereal manufacturing	25	311230	9.0	3.6666666666666665
80	25	999	Statewide	31	Cane sugar manufacturing	25	311314	1.0	1.0
88	25	999	Statewide	31	Creamery butter manufacturing	25	311512	2.0	1.8888888888888888
92	25	999	Statewide	31	Dog and cat food manufacturing	25	311111	5.0	2.5
96	25	999	Statewide	31	Fats and oils refining and blending	25	311225	5.0	2.2
99	25	999	Statewide	31	Flour milling	25	311211	3.75	2.6666666666666665
103	25	999	Statewide	31	Frozen fruit, juice, and vegetable manufacturing	25	311411	3.0	1.0
106	25	999	Statewide	31	Hosiery and sock mills	25	315110	1.0	1.0
118	25	999	Statewide	31	Other apparel knitting mills	25	315190	5.0	1.5
123	25	999	Statewide	31	Rendering and meat byproduct processing	25	311613	5.0	2.8
129	25	999	Statewide	31	Soybean and other oilseed processing	25	311224	3.0	1.4
134	25	999	Statewide	31	Tobacco manufacturing	25	312230	3.0	1.2
135	25	999	Statewide	31	Tortilla manufacturing	25	311830	8.0	3.2222222222222223
136	25	999	Statewide	31	Wet corn milling	25	311221	2.0	1.0
138	25	999	Statewide	31	Women's handbag and purse manufacturing	25	316992	6.0	1.8
152	25	999	Statewide	32	Asphalt shingle and coating materials manufacturing	25	324122	4.0	2.0
155	25	999	Statewide	32	Cement manufacturing	25	327310	4.0	1.4
165	25	999	Statewide	32	Cyclic crude, intermediate, and gum and wood chemical manufacturing	25	325194	3.5	1.6
166	25	999	Statewide	32	Engineered wood member (except truss) manufacturing	25	321213	2.0	1.0
168	25	999	Statewide	32	Flat glass manufacturing	25	327211	2.0	1.0
170	25	999	Statewide	32	Glass container manufacturing	25	327213	2.0	1.0
172	25	999	Statewide	32	Ground or treated mineral and earth manufacturing	25	327992	4.0	1.8
173	25	999	Statewide	32	Gypsum product manufacturing	25	327420	1.0	1.0
174	25	999	Statewide	32	Hardwood veneer and plywood manufacturing	25	321211	3.0	1.2
178	25	999	Statewide	32	Lime manufacturing	25	327410	2.0	1.0
179	25	999	Statewide	32	Manufactured home (mobile home) manufacturing	25	321991	2.0	1.0
192	25	999	Statewide	32	Pesticide and other agricultural chemical manufacturing	25	325320	4.0	2.0
194	25	999	Statewide	32	Petroleum refineries	25	324110	2.0	1.5
201	25	999	Statewide	32	Plastics pipe and pipe fitting manufacturing	25	326122	6.0	2.7777777777777777
202	25	999	Statewide	32	Plastics plumbing fixture manufacturing	25	326191	3.0	1.2
209	25	999	Statewide	32	Reconstituted wood product manufacturing	25	321219	5.0	2.0
215	25	999	Statewide	32	Softwood veneer and plywood manufacturing	25	321212	1.0	1.0
221	25	999	Statewide	32	Tire manufacturing (except retreading)	25	326211	2.0	1.0
234	25	999	Statewide	33	Aircraft manufacturing	25	336411	2.0	2.2857142857142856
240	25	999	Statewide	33	Alumina refining and primary aluminum production	25	331313	2.0	1.0
242	25	999	Statewide	33	Aluminum sheet, plate, and foil manufacturing	25	331315	3.0	1.2
243	25	999	Statewide	33	Ammunition (except small arms) manufacturing	25	332993	2.25	1.2
247	25	999	Statewide	33	Automobile manufacturing	25	336111	2.25	1.2
248	25	999	Statewide	33	Ball and roller bearing manufacturing	25	332991	4.0	2.0
271	25	999	Statewide	33	Electric lamp bulb and part manufacturing	25	335110	3.75	1.8
282	25	999	Statewide	33	Fluid power cylinder and actuator manufacturing	25	333995	2.0	1.5
283	25	999	Statewide	33	Fluid power pump and motor manufacturing	25	333996	5.0	2.2
287	25	999	Statewide	33	Guided missile and space vehicle manufacturing	25	336414	4.0	1.75
288	25	999	Statewide	33	Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing	25	336415	1.0	1.0
295	25	999	Statewide	33	Industrial truck, trailer, and stacker machinery manufacturing	25	333924	5.25	2.888888888888889
302	25	999	Statewide	33	Iron and steel pipe and tube manufacturing from purchased steel	25	331210	5.0	1.6
308	25	999	Statewide	33	Major household appliance manufacturing	25	335220	3.0	5.0
312	25	999	Statewide	33	Metal can manufacturing	25	332431	3.0	1.2
320	25	999	Statewide	33	Military armored vehicle, tank, and tank component manufacturing	25	336992	4.25	2.2
321	25	999	Statewide	33	Mining machinery and equipment manufacturing	25	333131	2.0	1.0
