	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS_TTL	NAICS_Sector	GEO_ID	estab	emp	payann
634727	25001	25	1	Barnstable County	113310	Logging	11	0500000US25001	1.0	0.0	0.0
634728	25001	25	1	Barnstable County	114111	Finfish fishing	11	0500000US25001	13.0	30.0	1100.0
634729	25001	25	1	Barnstable County	114112	Shellfish fishing	11	0500000US25001	18.0	0.0	960.0
634730	25001	25	1	Barnstable County	114210	Hunting and trapping	11	0500000US25001	3.0	6.0	248.0
634731	25001	25	1	Barnstable County	115116	Farm management services	11	0500000US25001	1.0	0.0	0.0
634732	25001	25	1	Barnstable County	115210	Support activities for animal production	11	0500000US25001	6.0	9.0	248.0
634733	25001	25	1	Barnstable County	115310	Support activities for forestry	11	0500000US25001	1.0	0.0	0.0
634734	25001	25	1	Barnstable County	212319	Other crushed and broken stone mining and quarrying	21	0500000US25001	2.0	0.0	0.0
634735	25001	25	1	Barnstable County	212321	Construction sand and gravel mining	21	0500000US25001	3.0	0.0	0.0
634736	25001	25	1	Barnstable County	221112	Fossil fuel electric power generation	22	0500000US25001	1.0	0.0	0.0
634737	25001	25	1	Barnstable County	221122	Electric power distribution	22	0500000US25001	1.0	0.0	0.0
634738	25001	25	1	Barnstable County	221210	Natural gas distribution	22	0500000US25001	3.0	0.0	0.0
634739	25001	25	1	Barnstable County	221310	Water supply and irrigation systems	22	0500000US25001	4.0	0.0	617.0
634740	25001	25	1	Barnstable County	221320	Sewage treatment facilities	22	0500000US25001	1.0	0.0	0.0
634741	25001	25	1	Barnstable County	236115	New single-family housing construction (except for-sale builders)	23	0500000US25001	104.0	570.0	26890.0
634742	25001	25	1	Barnstable County	236116	New multifamily housing construction (except for-sale builders)	23	0500000US25001	3.0	0.0	0.0
634743	25001	25	1	Barnstable County	236117	New housing for-sale builders	23	0500000US25001	12.0	0.0	3168.0
634744	25001	25	1	Barnstable County	236118	Residential remodelers	23	0500000US25001	225.0	752.0	30008.0
634745	25001	25	1	Barnstable County	236210	Industrial building construction	23	0500000US25001	1.0	0.0	0.0
634746	25001	25	1	Barnstable County	236220	Commercial and institutional building construction	23	0500000US25001	12.0	127.0	8093.0
634747	25001	25	1	Barnstable County	237110	Water and sewer line and related structures construction	23	0500000US25001	19.0	160.0	11308.0
634748	25001	25	1	Barnstable County	237130	Power and communication line and related structures construction	23	0500000US25001	5.0	0.0	906.0
634749	25001	25	1	Barnstable County	237210	Land subdivision	23	0500000US25001	6.0	0.0	0.0
634750	25001	25	1	Barnstable County	237310	Highway, street, and bridge construction	23	0500000US25001	4.0	0.0	0.0
634751	25001	25	1	Barnstable County	237990	Other heavy and civil engineering construction	23	0500000US25001	8.0	64.0	4768.0
634752	25001	25	1	Barnstable County	238110	Poured concrete foundation and structure contractors	23	0500000US25001	13.0	49.0	1840.0
634753	25001	25	1	Barnstable County	238130	Framing contractors	23	0500000US25001	30.0	0.0	4488.0
