	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	GEO_ID	estab_agg	emp_agg	payann_agg	emp_api	payann_api	estab_api
0	10	999	Statewide	11	Fishing	10	1141	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	15.625	4.0	217.25	4.777777777777778	139.22222222222223	7.444444444444445
1	10	999	Statewide	11	Hunting and trapping	10	1142	0500000US100010500000US10001	2.0	0.0	0.0	0.0	0.0	1.0
2	10	999	Statewide	11	Logging	10	1133	0500000US100010500000US100010500000US100050500000US10005	9.166666666666666	1.8333333333333333	736.8333333333334	2.6666666666666665	202.11111111111111	3.4444444444444446
3	10	999	Statewide	11	Support activities for animal production	10	1152	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	32.0	87.875	3067.0	60.55555555555556	1974.2222222222224	15.22222222222222
4	10	999	Statewide	11	Support activities for crop production	10	1151	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	21.95	50.25	2231.339285714286	45.666666666666664	2480.222222222222	10.0
5	10	999	Statewide	11	Support activities for forestry	10	1153	0500000US100030500000US10003	2.0	0.0	0.0	0.0	0.0	1.0
6	10	999	Statewide	11	Timber tract operations	10	1131	0500000US10005	1.0	0.0	0.0	0.0	0.0	1.0
7	10	999	Statewide	21	Nonmetallic mineral mining and quarrying	10	2123	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	16.525	64.575	5757.225	27.22222222222222	1747.888888888889	7.777777777777778
8	10	999	Statewide	21	Oil and gas extraction	10	2111	0500000US100030500000US10003	7.166666666666667	12.5	2310.5	11.77777777777778	2293.3333333333335	4.444444444444445
9	10	999	Statewide	21	Support activities for mining	10	2131	0500000US100010500000US100010500000US100030500000US10003	10.0	54.45	5142.625	30.555555555555557	2410.0	4.111111111111111
10	10	999	Statewide	22	Electric power generation, transmission and distribution	10	2211	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	61.875	1322.25	145845.125	991.2222222222222	106755.0	28.0
11	10	999	Statewide	22	Natural gas distribution	10	2212	0500000US100010500000US100010500000US10003	9.125	124.75	16790.875	0.0	2928.0	5.555555555555555
12	10	999	Statewide	22	Water, sewage and other systems	10	2213	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	31.25	711.375	55190.625	451.8888888888889	35715.444444444445	16.0
13	10	999	Statewide	23	Building equipment contractors	10	2382	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	1168.25	13639.25	790814.0	7145.666666666667	419165.0	585.7777777777778
14	10	999	Statewide	23	Building finishing contractors	10	2383	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	707.0	4840.0	224332.375	2375.0	115474.44444444444	358.1111111111111
15	10	999	Statewide	23	Foundation, structure, and building exterior contractors	10	2381	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	565.625	4226.5	214331.75	2214.5555555555557	109545.66666666669	275.77777777777777
16	10	999	Statewide	23	Highway, street, and bridge construction	10	2373	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	64.0	2330.25	147694.625	1162.2222222222222	75306.66666666667	29.555555555555557
17	10	999	Statewide	23	Land subdivision	10	2372	0500000US100010500000US100030500000US100030500000US100050500000US10005	18.125	180.25	18258.125	34.666666666666664	2906.222222222222	6.888888888888889
18	10	999	Statewide	23	Nonresidential building construction	10	2362	0500000US100010500000US100010500000US100030500000US100030500000US100050500000US10005	205.25	2536.5	151449.375	1304.5555555555557	81189.0	104.33333333333331
19	10	999	Statewide	23	Other heavy and civil engineering construction	10	2379	0500000US100010500000US100030500000US100030500000US100050500000US10005	13.425	18.05	644.075	6.777777777777778	403.6666666666667	6.777777777777778
