"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Las Vegas","www.facebook.com/pages/Cowboy-Trail-Farms","36.2807076","-115.2223867","Cowboy Trail Farm Indoor Farm Stand","NV","6550 Cowboy Trail","baked-goods bedding plants canned preserved coffee tea crafts woodworking eggs herbs fresh-fruits fresh-vegetables honey soap body-care","","farm","www.cowboytrailfarms.com","89131"
"Las Vegas","","36.301528","-115.250520","Gilcrease Orchard Foundation","NV","7800 N. Tenaya Way","fresh-fruits fresh-vegetables honey juices ciders nuts","","farm","www.thegilcreaseorchard.org","89131"
"Stagecoach","https://www.facebook.com/ironmountainnurseryandfarm","39.3377180","-119.4512050","Iron Mountain Nursery & Farm__On-Farm Farmers Market","NV","7575 Iron Mountain Blvd.","bedding plants herbs fresh-fruits fresh-vegetables nursery-stock","","farm","https://www.imnandf.com","89429"
"silver springs","","39.308329","-119.210558","k-t ranch","NV","2090 fox st.","eggs prepared-foods red-meat non-poultry-meat","","farm","k-tranch@hotmail.com","89429"
"Silver Springs","https://www.facebook.com/pages/Custom-Gardens-Organic-Farm/125190910916903","39.394724","-119.231220","Silver Springs Custom Gardens On-Farm Green-Market","NV","3701 Elm Street","bedding plants canned preserved herbs fresh-fruits fresh-vegetables honey","","farm","","89429"
"Carson City","Carsonfarmersmarket","39.162841","-119.768164","Carson Farmers Market @3rd & Curry St. ","NV","3rd & Curry St. ","organic baked goods crafts flowers eggs seafood herbs vegetables honey jams meat nuts plants poultry prepared-foods soap trees coffee fruits juices pet food wild","3rd&curry","market","https://carsonfarmersmarket.com/","89703"
"Fallon ","","39.473055","-118.776299","E. Center St. Farmers Market","NV","40 East Center Street","organic baked goods crafts vegetables honey jams prepared-foods soap coffee fruits","","market","https://www.fallonfoodhub.com/farmers-market/","89406"
"Caliente","","37.61666","-114.5149","Lincoln County Producers' Markets","NV","360 Lincoln Street","organic baked goods eggs herbs vegetables honey jams fruits","","market","","89008"
"RENO","Shirley's Farmers' Markets","39.416292","-119.755381","Tamarack Junction Casino Farmers' Market","NV","13101 So. Virginia Street","organic baked goods crafts eggs seafood herbs vegetables honey nuts plants poultry prepared-foods soap fruits","","market","http://shirleysfarmersmarkets@gmail.com","89511"
"Reno ","htwww.facebook.com/ShirleysFarmersMarketsNV","39.514749","-119.827646","The Village Farmers Market on California Street","NV","625 Booth Street","organic baked goods crafts flowers eggs seafood herbs vegetables honey jams nuts poultry soap coffee fruits","","market","http://www.shirleysfarmersmarkets.com","89509"
