	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	GEO_ID	estab_agg	emp_agg	payann_agg	emp_api	payann_api	estab_api
0	50	999	Statewide	11	Forest nurseries and gathering of forest products	50	1132	0500000US500030500000US50027	3.0	0.0	0.0	0.0	0.0	1.75
1	50	999	Statewide	11	Logging	50	1133	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500090500000US500090500000US500110500000US500110500000US500150500000US500150500000US500170500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	157.25	193.5	10411.0	192.6	5979.2	78.4
2	50	999	Statewide	11	Support activities for animal production	50	1152	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500070500000US500070500000US500110500000US500110500000US500150500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	40.5	55.75	2136.0	74.2	3386.0	22.0
3	50	999	Statewide	11	Support activities for crop production	50	1151	0500000US500010500000US500010500000US500070500000US500070500000US500110500000US500110500000US500150500000US500170500000US500190500000US500190500000US500210500000US500210500000US500250500000US500250500000US500270500000US50027	32.75	14.25	899.75	44.6	1479.0	15.0
4	50	999	Statewide	11	Support activities for forestry	50	1153	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500090500000US500150500000US500150500000US500170500000US500170500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	39.5	12.0	543.0	41.8	1520.0	19.6
5	50	999	Statewide	11	Timber tract operations	50	1131	0500000US500210500000US500210500000US500270500000US50027	6.0	0.0	0.0	0.0	0.0	3.0
6	50	999	Statewide	21	Nonmetallic mineral mining and quarrying	50	2123	0500000US500010500000US500010500000US500050500000US500050500000US500070500000US500070500000US500090500000US500090500000US500110500000US500110500000US500130500000US500130500000US500170500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	97.75	420.25	32227.25	444.0	30223.2	47.6
7	50	999	Statewide	22	Electric power generation, transmission and distribution	50	2211	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500110500000US500110500000US500150500000US500150500000US500170500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	103.0	683.25	59420.0	629.6	158834.8	49.6
8	50	999	Statewide	22	Natural gas distribution	50	2212	0500000US500070500000US50007	2.0	0.0	0.0	0.0	0.0	1.0
9	50	999	Statewide	22	Water, sewage and other systems	50	2213	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500150500000US500150500000US500190500000US500190500000US500210500000US500210500000US500270500000US50027	24.25	9.0	262.0	22.6	1156.2	11.6
10	50	999	Statewide	23	Building equipment contractors	50	2382	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500090500000US500090500000US500110500000US500110500000US500130500000US500130500000US500150500000US500150500000US500170500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	1173.5	7581.25	364194.0	3864.4	190206.2	588.4
11	50	999	Statewide	23	Building finishing contractors	50	2383	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500090500000US500110500000US500110500000US500130500000US500130500000US500150500000US500150500000US500170500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	814.0	2690.5	105149.25	1355.0	53386.2	398.8
12	50	999	Statewide	23	Foundation, structure, and building exterior contractors	50	2381	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500090500000US500090500000US500110500000US500110500000US500130500000US500130500000US500150500000US500150500000US500170500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	671.5	2710.0	135878.5	1447.0	72452.8	339.2
13	50	999	Statewide	23	Highway, street, and bridge construction	50	2373	0500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500090500000US500090500000US500110500000US500110500000US500150500000US500150500000US500170500000US500170500000US500190500000US500190500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	59.5	171.0	13116.25	242.0	19378.0	30.2
14	50	999	Statewide	23	Land subdivision	50	2372	0500000US500010500000US500070500000US500070500000US500190500000US500210500000US500210500000US500230500000US50023	12.75	0.0	0.0	12.6	892.2	5.6
15	50	999	Statewide	23	Nonresidential building construction	50	2362	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500110500000US500110500000US500150500000US500150500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	192.5	1680.0	96364.25	989.4	57133.8	94.0
16	50	999	Statewide	23	Other heavy and civil engineering construction	50	2379	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500130500000US500150500000US500150500000US500170500000US500170500000US500210500000US500210500000US500230500000US500230500000US500270500000US50027	22.0	0.0	0.0	86.4	5638.0	11.2
17	50	999	Statewide	23	Other specialty trade contractors	50	2389	0500000US500010500000US500010500000US500030500000US500030500000US500050500000US500050500000US500070500000US500070500000US500090500000US500090500000US500110500000US500110500000US500130500000US500130500000US500150500000US500150500000US500170500000US500170500000US500190500000US500190500000US500210500000US500210500000US500230500000US500230500000US500250500000US500250500000US500270500000US50027	774.25	3171.5	196121.75	1653.2	101450.2	389.0
