	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
1	15	999	Statewide	11	Farm management services	15	115116	1.25	1.25
3	15	999	Statewide	11	Logging	15	113310	1.0	1.0
4	15	999	Statewide	11	Postharvest crop activities (except cotton ginning)	15	115114	4.0	2.0
5	15	999	Statewide	11	Shellfish fishing	15	114112	8.5	2.8
9	15	999	Statewide	11	Timber tract operations	15	113110	1.0	1.0
10	15	999	Statewide	21	All other nonmetallic mineral mining	15	212399	2.0	1.0
11	15	999	Statewide	21	Construction sand and gravel mining	15	212321	1.0	1.0
12	15	999	Statewide	21	Crude petroleum and natural gas extraction	15	211111	3.0	1.25
13	15	999	Statewide	21	Crushed and broken limestone mining and quarrying	15	212312	2.0	1.0
14	15	999	Statewide	21	Drilling oil and gas wells	15	213111	3.0	1.6
15	15	999	Statewide	21	Other crushed and broken stone mining and quarrying	15	212319	4.0	2.0
16	15	999	Statewide	21	Support activities for oil and gas operations	15	213112	2.0	1.0
17	15	999	Statewide	22	Biomass electric power generation	15	221117	4.0	1.8
18	15	999	Statewide	22	Electric bulk power transmission and control	15	221121	1.0	1.0
21	15	999	Statewide	22	Geothermal electric power generation	15	221116	3.0	1.8
23	15	999	Statewide	22	Other electric power generation	15	221118	5.0	2.5
25	15	999	Statewide	22	Solar electric power generation	15	221114	2.0	1.0
64	15	999	Statewide	31	Breakfast cereal manufacturing	15	311230	1.0	1.0
66	15	999	Statewide	31	Cane sugar manufacturing	15	311314	2.0	1.0
67	15	999	Statewide	31	Cheese manufacturing	15	311513	2.0	1.0
76	15	999	Statewide	31	Dog and cat food manufacturing	15	311111	1.0	1.0
77	15	999	Statewide	31	Dried and dehydrated food manufacturing	15	311423	4.0	1.6
79	15	999	Statewide	31	Dry, condensed, and evaporated dairy product manufacturing	15	311514	1.0	1.0
80	15	999	Statewide	31	Fiber, yarn, and thread mills	15	313110	1.0	1.0
81	15	999	Statewide	31	Flavoring syrup and concentrate manufacturing	15	311930	4.0	2.0
82	15	999	Statewide	31	Flour milling	15	311211	2.0	1.0
83	15	999	Statewide	31	Fluid milk manufacturing	15	311511	4.0	2.0
84	15	999	Statewide	31	Footwear manufacturing	15	316210	2.0	1.0
85	15	999	Statewide	31	Frozen specialty food manufacturing	15	311412	3.0	1.8
93	15	999	Statewide	31	Other animal food manufacturing	15	311119	2.0	1.0
96	15	999	Statewide	31	Poultry processing	15	311615	3.0	1.2
98	15	999	Statewide	31	Rice milling	15	311212	2.0	1.0
100	15	999	Statewide	31	Seafood product preparation and packaging	15	311710	4.0	2.4444444444444446
102	15	999	Statewide	31	Soybean and other oilseed processing	15	311224	2.5	1.4
103	15	999	Statewide	31	Specialty canning	15	311422	2.0	1.0
105	15	999	Statewide	31	Textile and fabric finishing mills	15	313310	1.0	1.0
107	15	999	Statewide	31	Tortilla manufacturing	15	311830	4.0	2.4444444444444446
110	15	999	Statewide	32	All other converted paper product manufacturing	15	322299	1.0	1.0
111	15	999	Statewide	32	All other miscellaneous chemical product and preparation manufacturing	15	325998	2.0	2.0
115	15	999	Statewide	32	Artificial and synthetic fibers and filaments manufacturing	15	325220	2.0	1.0
116	15	999	Statewide	32	Asphalt paving mixture and block manufacturing	15	324121	3.0	1.25
117	15	999	Statewide	32	Books printing	15	323117	1.0	1.0
120	15	999	Statewide	32	Concrete block and brick manufacturing	15	327331	5.0	2.6666666666666665
121	15	999	Statewide	32	Concrete pipe manufacturing	15	327332	5.25	2.4
122	15	999	Statewide	32	Corrugated and solid fiber box manufacturing	15	322211	2.0	1.0
123	15	999	Statewide	32	Cut stock, resawing lumber, and planing	15	321912	2.0	1.0
126	15	999	Statewide	32	Glass container manufacturing	15	327213	1.0	1.0
128	15	999	Statewide	32	Medicinal and botanical manufacturing	15	325411	2.0	1.0
129	15	999	Statewide	32	Nitrogenous fertilizer manufacturing	15	325311	3.0	1.2
132	15	999	Statewide	32	Other pressed and blown glass and glassware manufacturing	15	327212	5.0	2.5555555555555554
133	15	999	Statewide	32	Paper bag and coated and treated paper manufacturing	15	322220	2.0	1.0
134	15	999	Statewide	32	Petroleum refineries	15	324110	4.0	2.0
135	15	999	Statewide	32	Pharmaceutical preparation manufacturing	15	325412	2.25	1.2
