	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
1	28	999	Statewide	11	Crop harvesting, primarily by machine	28	115113	5.0	1.6
2	28	999	Statewide	11	Farm labor contractors and crew leaders	28	115115	8.5	2.6
5	28	999	Statewide	11	Forest nurseries and gathering of forest products	28	113210	2.0	1.0
14	28	999	Statewide	21	All other nonmetallic mineral mining	28	212399	3.0	1.2
15	28	999	Statewide	21	Bituminous coal and lignite surface mining	28	212111	7.0	3.888888888888889
16	28	999	Statewide	21	Clay and ceramic and refractory minerals mining	28	212325	5.0	2.6666666666666665
20	28	999	Statewide	21	Crushed and broken limestone mining and quarrying	28	212312	4.0	2.0
21	28	999	Statewide	21	Dimension stone mining and quarrying	28	212311	2.0	1.0
23	28	999	Statewide	21	Industrial sand mining	28	212322	1.0	1.0
24	28	999	Statewide	21	Kaolin and ball clay mining	28	212324	2.0	1.0
26	28	999	Statewide	21	Support activities for coal mining	28	213113	3.0	1.25
29	28	999	Statewide	22	Biomass electric power generation	28	221117	1.0	1.0
30	28	999	Statewide	22	Electric bulk power transmission and control	28	221121	3.0	1.3333333333333333
33	28	999	Statewide	22	Hydroelectric power generation	28	221111	4.0	1.4
35	28	999	Statewide	22	Nuclear electric power generation	28	221113	12.0	6.0
37	28	999	Statewide	22	Steam and air-conditioning supply	28	221330	2.0	1.0
70	28	999	Statewide	31	All other leather good and allied product manufacturing	28	316998	5.0	1.8
71	28	999	Statewide	31	All other miscellaneous food manufacturing	28	311999	6.0	3.5555555555555554
76	28	999	Statewide	31	Breakfast cereal manufacturing	28	311230	1.0	1.0
78	28	999	Statewide	31	Broadwoven fabric mills	28	313210	6.0	2.888888888888889
79	28	999	Statewide	31	Carpet and rug mills	28	314110	1.0	1.0
80	28	999	Statewide	31	Cheese manufacturing	28	311513	2.0	1.0
81	28	999	Statewide	31	Chocolate and confectionery manufacturing from cacao beans	28	311351	2.0	1.0
82	28	999	Statewide	31	Coffee and tea manufacturing	28	311920	2.0	1.0
85	28	999	Statewide	31	Cookie and cracker manufacturing	28	311821	3.0	1.2
88	28	999	Statewide	31	Dog and cat food manufacturing	28	311111	4.0	1.4
89	28	999	Statewide	31	Dry pasta, dough, and flour mixes manufacturing from purchased flour	28	311824	3.0	1.2
90	28	999	Statewide	31	Fabric coating mills	28	313320	4.0	1.4
91	28	999	Statewide	31	Flavoring syrup and concentrate manufacturing	28	311930	2.0	1.0
93	28	999	Statewide	31	Fluid milk manufacturing	28	311511	6.0	3.0
96	28	999	Statewide	31	Fruit and vegetable canning	28	311421	2.0	1.0
97	28	999	Statewide	31	Hosiery and sock mills	28	315110	2.0	1.0
98	28	999	Statewide	31	Ice cream and frozen dessert manufacturing	28	311520	2.0	1.0
100	28	999	Statewide	31	Knit fabric mills	28	313240	3.0	1.25
102	28	999	Statewide	31	Malt manufacturing	28	311213	1.0	1.0
103	28	999	Statewide	31	Mayonnaise, dressing, and other prepared sauce manufacturing	28	311941	3.0	1.2
106	28	999	Statewide	31	Nonchocolate confectionery manufacturing	28	311340	1.0	1.0
109	28	999	Statewide	31	Other apparel knitting mills	28	315190	1.0	1.0
110	28	999	Statewide	31	Other cut and sew apparel manufacturing	28	315280	4.0	2.4444444444444446
116	28	999	Statewide	31	Rice milling	28	311212	4.75	2.6666666666666665
117	28	999	Statewide	31	Roasted nuts and peanut butter manufacturing	28	311911	2.0	1.0
120	28	999	Statewide	31	Soft drink manufacturing	28	312111	4.0	2.0
121	28	999	Statewide	31	Soybean and other oilseed processing	28	311224	5.0	2.25
122	28	999	Statewide	31	Spice and extract manufacturing	28	311942	1.0	1.0
125	28	999	Statewide	31	Wet corn milling	28	311221	2.0	1.0
126	28	999	Statewide	31	Wineries	28	312130	3.0	1.3333333333333333
127	28	999	Statewide	31	Women's, girls', and infants' cut and sew apparel manufacturing	28	315240	3.0	1.0
128	28	999	Statewide	32	Adhesive manufacturing	28	325520	4.0	2.0
134	28	999	Statewide	32	All other petroleum and coal products manufacturing	28	324199	4.0	1.8
137	28	999	Statewide	32	Artificial and synthetic fibers and filaments manufacturing	28	325220	6.75	3.0
139	28	999	Statewide	32	Asphalt shingle and coating materials manufacturing	28	324122	4.0	2.0
140	28	999	Statewide	32	Books printing	28	323117	5.0	1.8
141	28	999	Statewide	32	Cement manufacturing	28	327310	1.0	1.0
151	28	999	Statewide	32	Cyclic crude, intermediate, and gum and wood chemical manufacturing	28	325194	3.0	1.3333333333333333
152	28	999	Statewide	32	Ethyl alcohol manufacturing	28	325193	3.0	1.2
153	28	999	Statewide	32	Fertilizer (mixing only) manufacturing	28	325314	3.0	1.2
154	28	999	Statewide	32	Flat glass manufacturing	28	327211	2.0	1.0
156	28	999	Statewide	32	Glass container manufacturing	28	327213	1.0	1.0
159	28	999	Statewide	32	Gypsum product manufacturing	28	327420	2.0	1.0
