Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
30683,00,89,001,23926,2
30683,00,59,210,0,2
30683,00,12,220,0,2
30683,00,12,230,0,2
30683,00,3,241,0,2
30683,23,16,001,0,2
30683,23,9,210,0,2
30683,23,3,220,0,2
30683,23,3,230,0,2
30683,31-33,4,001,0,2
30683,44-45,4,001,0,2
30683,48-49,4,001,0,2
30683,53,5,001,0,2
30683,53,5,210,0,2
30683,54,16,001,0,2
30683,54,14,210,0,2
30683,56,13,001,0,2
30683,56,7,210,0,2
30683,56,3,220,0,2
30683,61,3,001,0,2
30683,61,3,210,0,2
30683,62,5,001,0,2
30683,62,4,210,0,2
30683,72,5,001,0,2
30683,72,3,210,0,2
30683,81,10,001,0,2
30683,81,5,210,0,2
30683,81,4,220,0,2
