State,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AL,Alabama,2847543.3,11166871.1,10294319.09,10586368.43,10458264.0,9848154.08,8694394.98,9216931.15,9488912.57,8921110.82,8635219.72,7657440.42
AK,Alaska,604977.75,1130750.75,1086911.12,1257081.25,1154261.0,1036047.5,1354763.0,1459761.25,879904.25,894744.5,825448.5,871681.75
AZ,Arizona,1161632.52,1356492.93,1428118.49,1402576.0,1680164.0,1568840.0,1618595.0,1503692.5,1484753.75,1567768.5,1306908.0,1361141.25
AR,Arkansas,1759885.27,2500659.05,2569157.64,2205653.0,2163836.0,2238893.0,2246563.5,1932314.5,1965029.0,2052904.25,2085514.0,2123889.0
CA,California,7970055.76,11730200.89,11156744.94,10156937.38,9983109.57,9692384.75,8561596.5,8962590.5,8854385.75,9130658.75,9162385.25,8737629.75
CO,Colorado,1417777.08,10757200.67,10600037.37,9091041.32,9016410.15,8696952.55,11569071.71,11213594.05,12039046.64,11939918.78,10044654.64,8793630.94
CT,Connecticut,278442.02,434105.99,386989.69,367265.22,343941.58,349680.0,335929.5,341309.98,330865.6,347878.05,313409.3,309106.88
DE,Delaware,138621.45,267131.12,315390.68,320099.92,374317.45,502652.72,496745.15,488157.12,439427.75,432013.75,391747.25,401666.25
FL,Florida,6484271.21,6309868.93,6748690.84,6428673.0,6479814.55,6311483.7,6572172.03,7029005.22,7343508.34,7387995.38,6440897.28,6603958.08
GA,Georgia,4956268.47,5009355.9,5416413.65,5743888.75,5852373.25,5704800.0,5258949.0,5274283.0,5664404.5,5847350.25,5975386.25,5377826.75
HI,Hawaii,316535.29,329229.47,377425.24,331539.15,311561.25,310843.75,248169.0,254282.5,228784.75,217700.75,191869.75,208836.0
ID,Idaho,331907.25,359478.0,423838.5,590750.5,567423.5,656055.25,611533.25,593649.25,561630.0,635916.5,632242.25,558383.25
IL,Illinois,4119585.97,6971156.15,7787883.77,8092516.0,7980262.5,9270248.0,9130385.5,7319388.12,6507850.68,5996672.8,5717460.5,5301279.82
IN,Indiana,3771312.12,6285758.72,6432888.7,6458463.75,6412312.0,6554365.25,5914871.0,5842558.75,6007298.25,6542888.25,5662223.5,5277592.25
IA,Iowa,1199225.75,2015285.59,1764165.49,1626005.75,1519498.0,1566591.25,1580390.0,1699228.22,1734056.65,1604391.0,1552900.75,1500489.0
KS,Kansas,2129700.58,2518579.27,2703757.86,2543265.25,2562203.5,2023491.75,1917337.0,1500311.25,1740208.25,1508335.5,1418258.5,1463059.5
KY,Kentucky,2096797.28,4475415.43,4224380.32,3880576.25,4364966.32,3999348.58,3488543.4,3582216.48,3730491.0,3663861.32,3201584.95,2891220.82
LA,Louisiana,1947607.1,3747093.07,3881244.13,3989897.6,3894325.78,3599951.31,3578535.12,4069411.52,4448286.03,4173343.8,3490779.33,3368345.25
ME,Maine,219473.46,553840.97,442261.19,337138.7,338075.4,305004.78,280193.7,267122.38,257795.38,252551.15,193106.52,208122.2
MD,Maryland,1591572.94,1761159.45,1402572.45,1330444.6,1443647.0,1249118.0,1281733.0,1316685.5,1267440.5,1288332.25,1232850.5,1164380.5
MA,Massachusetts,484523.53,1118931.14,1147467.67,1048284.45,978352.0,971388.78,919055.78,873991.22,849600.75,832567.0,781984.0,674953.25
MI,Michigan,5437786.64,6117618.28,5782598.83,6017780.42,5844235.28,6014809.54,5546758.75,5599820.75,5545769.5,5442633.25,5236379.0,5256869.5
MN,Minnesota,754475.99,1168644.21,1221992.85,1157293.32,1588599.0,1711789.78,1468709.8,1517764.32,1553376.25,1676568.25,1599644.0,1675892.5
MS,Mississippi,1604387.47,2087336.99,2103334.12,2107184.0,2086325.58,2040601.72,2087274.0,2234072.65,2336366.28,2156470.35,1770360.95,1576142.2
MO,Missouri,2205685.92,2015658.35,1838334.87,1674661.15,1660838.5,1639134.25,1640909.25,1618955.0,1621807.25,1627425.0,1666828.5,1651448.75
MT,Montana,769928.0,442195.75,441334.5,365156.5,382602.0,417076.25,421461.0,377885.25,407654.0,467891.75,402691.75,446921.75
NE,Nebraska,988800.06,1086056.98,1110709.37,1272045.75,1152938.75,1290138.0,1149100.75,1156577.0,1231468.75,1155859.5,1015923.75,1070504.25
NV,Nevada,220196.27,138441.05,134891.46,135491.0,163725.75,154605.75,133306.5,115853.75,144437.25,154364.0,153053.0,261100.0
NH,New Hampshire,335436.18,395741.75,284392.15,307092.25,276130.75,284441.5,297827.25,316974.25,346856.75,369427.75,344954.5,392252.0
NJ,New Jersey,1750366.54,2519591.58,2651929.57,2583579.0,2506897.05,2487919.12,2293035.5,2123040.08,1951580.0,1840509.0,1685638.0,1602841.75
NM,New Mexico,525853.13,4033445.26,3903450.92,3529160.12,3453400.5,3497436.15,3160461.52,3117534.34,3136813.88,2615869.71,2169036.07,2772705.94
NY,New York,2391928.86,3721675.13,3767966.82,3329031.75,3437499.95,3297378.28,2987556.4,2855139.02,2815087.45,2767728.85,2734573.4,2724197.65
NC,North Carolina,3676496.9,4253268.5,4029183.26,3875244.0,3961664.0,3934183.25,4271545.25,4187168.0,4390396.75,4210129.25,4102544.25,4155219.25
ND,North Dakota,293872.42,524628.41,600648.52,677702.5,794744.5,839100.75,795732.0,880200.0,849782.64,1006119.43,875491.28,901446.08
OH,Ohio,6121132.19,6865804.03,7315839.71,7396615.5,7087861.75,6565652.75,5492189.0,5333008.68,5943869.38,6389197.28,6400718.05,6528390.4
OK,Oklahoma,1888017.39,13262112.56,14641712.05,12214165.9,12413841.2,13194218.67,13583394.82,12569351.64,12169232.28,10863323.1,8109328.96,7676408.28
OR,Oregon,1080062.62,1133401.21,1211259.28,1098045.75,1152613.25,1181230.25,1051877.75,989262.25,994965.25,940989.25,855743.75,807873.25
PA,Pennsylvania,3610964.63,13845374.63,12348059.01,14361200.98,12729146.62,13035224.65,13257823.2,15591352.0,14400233.35,15679389.0,13593778.8,13102076.8
RI,Rhode Island,265432.75,315573.75,434531.75,321036.25,271345.25,264645.0,248321.5,243724.82,246424.72,260416.42,155613.8,151563.6
SC,South Carolina,1908812.84,1886052.4,2123107.37,1937884.75,2120336.5,1955050.3,1997419.1,1807402.88,1833404.38,1676878.12,1749836.18,1915535.2
SD,South Dakota,167666.0,183843.75,189991.5,205835.5,660208.25,261662.5,283986.25,228694.75,264395.25,270897.0,260021.25,311802.0
TN,Tennessee,2748980.92,3272907.4,3421989.35,2912339.1,3041284.85,3013370.52,2948322.32,2745674.82,2626992.67,2848724.22,2281540.48,2318727.12
TX,Texas,10968161.64,43747151.2,41010440.79,40633405.32,38424613.13,37483580.79,44414101.03,44049169.93,45350930.0,46851190.64,42158377.73,36975520.28
