"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Fishers","https://www.facebook.com/AggressivelyFresh","39.973794","-86.007339","Aggressively Fresh Fishers Market","IN","9160 Ford Circle","bedding plants herbs fresh-vegetables grains flour mushrooms nursery-stock soap body-care","","farm","https://aggressivelyfresh.com/","46038"
"Amboy ","","40.6195200","-85.9205480","Amboy Honey Creek Farms","IN","10262 S 800 E","honey","","farm","","46911"
"Clinton","https://www.facebook.com/ArisFarmAlpacas","39.621846","-87.466855","Aris Farm Alpacas","IN","129 W 1800 S","crafts woodworking soap body-care","","farm","www.ArisFarmAlpacas.com","47842"
"North vernon ","","39.120663","-85.619821","Armand Family Farms","IN","9240 n co rd 30 w","eggs fresh-vegetables red-meat non-poultry-meat","","farm","","47265"
"Monroe City","","38.5897750","-87.3339600","Brads Berry and Peach","IN","6066 South State Road 61","fresh-fruits fresh-vegetables honey","","farm","","47557"
"New Haven","https://www.facebook.com/AdvancedTreeTechnology","41.0761020","-84.9755830","Bruick Brothers Produce INC","IN","12818 Edgerton Road","","","farm","www.advancedtree.com","46774"
"New Salisbury","https://www.facebook.com/pages/Bryants-Blueberries/296127074527","38.300519","-86.088252","Bryant's Blueberries","IN","6900 Oak Park Road NE","","","farm","www.bryantsblueberries.com","47161"
"Evansville","Facebook.com/budsfarmmarket","37.936180","-87.530205","Bud's Farm Market","IN","3301 S Weinbach Ave","fresh-fruits fresh-vegetables","","farm","budsfarm.com","47714"
"Evansville","Facebook.com/budsfarmmarket","37.935357","-87.531956","Bud's Farm Market","IN","3501 S Weinbach Ave","fresh-fruits fresh-vegetables","","farm","Facebook.com/budsfarmmarket","47714"
"AUBURN","https://www.facebook.com/cartershoneybees","41.301634","-85.048532","Carter's Honey Farm","IN","6371 COUNTY ROAD 29","honey","","farm","www.cartershoneybees.com","46706"
"Plymouth","www.facebook.com/pages/Childs-Farm/104283862951552","41.2724336","-86.3612930","Childs' Farm","IN","14118 Peach Road","bedding plants crafts woodworking dry beans eggs herbs fresh-vegetables poultry fowl soap body-care","","farm","www.childsfarm.net","46563"
