	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
0	32	999	Statewide	11	Crop harvesting, primarily by machine	32	115113	1.0	1.0
4	32	999	Statewide	11	Forest nurseries and gathering of forest products	32	113210	2.0	1.0
6	32	999	Statewide	11	Logging	32	113310	4.0	2.0
8	32	999	Statewide	11	Shellfish fishing	32	114112	2.0	1.0
12	32	999	Statewide	11	Timber tract operations	32	113110	3.0	1.0
15	32	999	Statewide	21	Bituminous coal and lignite surface mining	32	212111	3.0	1.2
18	32	999	Statewide	21	Copper ore and nickel ore mining	32	212234	6.75	3.2
21	32	999	Statewide	21	Crushed and broken granite mining and quarrying	32	212313	5.0	1.6
26	32	999	Statewide	21	Industrial sand mining	32	212322	2.0	1.0
27	32	999	Statewide	21	Iron ore mining	32	212210	1.0	1.0
30	32	999	Statewide	21	Potash, soda, and borate mineral mining	32	212391	2.0	1.0
31	32	999	Statewide	21	Silver ore mining	32	212222	5.0	2.6
36	32	999	Statewide	21	Uranium-radium-vanadium ore mining	32	212291	6.0	2.25
37	32	999	Statewide	22	Electric bulk power transmission and control	32	221121	1.0	1.0
43	32	999	Statewide	22	Sewage treatment facilities	32	221320	3.0	1.2
85	32	999	Statewide	31	Breakfast cereal manufacturing	32	311230	2.0	1.0
88	32	999	Statewide	31	Carpet and rug mills	32	314110	1.0	1.0
89	32	999	Statewide	31	Cheese manufacturing	32	311513	2.0	1.25
90	32	999	Statewide	31	Chocolate and confectionery manufacturing from cacao beans	32	311351	1.0	1.0
101	32	999	Statewide	31	Dry, condensed, and evaporated dairy product manufacturing	32	311514	1.0	1.0
103	32	999	Statewide	31	Flavoring syrup and concentrate manufacturing	32	311930	3.5	1.6
104	32	999	Statewide	31	Fluid milk manufacturing	32	311511	4.0	2.0
105	32	999	Statewide	31	Frozen cakes, pies, and other pastries manufacturing	32	311813	1.25	1.25
106	32	999	Statewide	31	Frozen fruit, juice, and vegetable manufacturing	32	311411	4.0	1.4
114	32	999	Statewide	31	Narrow fabric mills and schiffli machine embroidery	32	313220	2.0	1.0
115	32	999	Statewide	31	Nonchocolate confectionery manufacturing	32	311340	4.0	1.8
116	32	999	Statewide	31	Nonwoven fabric mills	32	313230	5.0	2.2
118	32	999	Statewide	31	Other cut and sew apparel manufacturing	32	315280	1.5	1.5
121	32	999	Statewide	31	Poultry processing	32	311615	1.75	1.75
122	32	999	Statewide	31	Rendering and meat byproduct processing	32	311613	4.0	2.0
124	32	999	Statewide	31	Roasted nuts and peanut butter manufacturing	32	311911	5.0	2.6666666666666665
125	32	999	Statewide	31	Rope, cordage, twine, tire cord, and tire fabric mills	32	314994	5.25	1.8
126	32	999	Statewide	31	Seafood product preparation and packaging	32	311710	2.0	1.0
134	32	999	Statewide	31	Women's handbag and purse manufacturing	32	316992	1.0	1.0
136	32	999	Statewide	32	Adhesive manufacturing	32	325520	4.0	1.0
146	32	999	Statewide	32	Asphalt shingle and coating materials manufacturing	32	324122	5.0	2.5555555555555554
147	32	999	Statewide	32	Books printing	32	323117	2.5	1.3333333333333333
148	32	999	Statewide	32	Cement manufacturing	32	327310	4.0	2.0
149	32	999	Statewide	32	Clay building material and refractories manufacturing	32	327120	2.0	1.0
153	32	999	Statewide	32	Concrete pipe manufacturing	32	327332	6.0	3.0
154	32	999	Statewide	32	Corrugated and solid fiber box manufacturing	32	322211	2.0	1.0
158	32	999	Statewide	32	Ethyl alcohol manufacturing	32	325193	1.0	1.0
159	32	999	Statewide	32	Explosives manufacturing	32	325920	2.0	1.0
160	32	999	Statewide	32	Fertilizer (mixing only) manufacturing	32	325314	4.0	2.0
161	32	999	Statewide	32	Flat glass manufacturing	32	327211	1.0	1.0
162	32	999	Statewide	32	Glass container manufacturing	32	327213	1.0	1.0
166	32	999	Statewide	32	In-vitro diagnostic substance manufacturing	32	325413	4.25	2.2
167	32	999	Statewide	32	Industrial gas manufacturing	32	325120	3.25	2.111111111111111
169	32	999	Statewide	32	Lime manufacturing	32	327410	6.25	3.111111111111111
170	32	999	Statewide	32	Manufactured home (mobile home) manufacturing	32	321991	2.0	1.0
172	32	999	Statewide	32	Mineral wool manufacturing	32	327993	1.0	1.0
173	32	999	Statewide	32	Newsprint mills	32	322122	1.0	1.0
174	32	999	Statewide	32	Nitrogenous fertilizer manufacturing	32	325311	3.0	1.75
178	32	999	Statewide	32	Other paperboard container manufacturing	32	322219	4.0	2.0
179	32	999	Statewide	32	Other pressed and blown glass and glassware manufacturing	32	327212	2.333333333333333	1.25
181	32	999	Statewide	32	Paper (except newsprint) mills	32	322121	2.0	1.0
183	32	999	Statewide	32	Pesticide and other agricultural chemical manufacturing	32	325320	4.0	1.2
184	32	999	Statewide	32	Petroleum lubricating oil and grease manufacturing	32	324191	1.0	1.0
185	32	999	Statewide	32	Petroleum refineries	32	324110	3.0	1.2
191	32	999	Statewide	32	Plastics packaging film and sheet (including laminated) manufacturing	32	326112	4.0	2.0
196	32	999	Statewide	32	Pottery, ceramics, and plumbing fixture manufacturing	32	327110	3.5	1.6
198	32	999	Statewide	32	Printing ink manufacturing	32	325910	7.75	3.4
199	32	999	Statewide	32	Pulp mills	32	322110	2.0	1.0
201	32	999	Statewide	32	Reconstituted wood product manufacturing	32	321219	1.0	1.0
202	32	999	Statewide	32	Rubber and plastics hoses and belting manufacturing	32	326220	5.25	2.6
203	32	999	Statewide	32	Rubber product manufacturing for mechanical use	32	326291	3.0	1.2
205	32	999	Statewide	32	Sawmills	32	321113	2.0	2.0
209	32	999	Statewide	32	Synthetic dye and pigment manufacturing	32	325130	2.0	1.0
214	32	999	Statewide	32	Unlaminated plastics profile shape manufacturing	32	326121	1.0	1.0
228	32	999	Statewide	33	Aluminum foundries (except die-casting)	32	331524	6.0	2.4
229	32	999	Statewide	33	Ammunition (except small arms) manufacturing	32	332993	2.0	1.0
235	32	999	Statewide	33	Blank magnetic and optical recording media manufacturing	32	334613	6.0	2.888888888888889
236	32	999	Statewide	33	Blind and shade manufacturing	32	337920	3.75	2.4
237	32	999	Statewide	33	Boat building	32	336612	4.0	2.0
241	32	999	Statewide	33	Computer terminal and other computer peripheral equipment manufacturing	32	334118	2.75	1.6
242	32	999	Statewide	33	Construction machinery manufacturing	32	333120	5.0	2.2
243	32	999	Statewide	33	Conveyor and conveying equipment manufacturing	32	333922	3.0	1.6
244	32	999	Statewide	33	Current-carrying wiring device manufacturing	32	335931	6.0	3.0
253	32	999	Statewide	33	Electronic connector manufacturing	32	334417	3.75	1.8
258	32	999	Statewide	33	Fiber optic cable manufacturing	32	335921	1.0	1.0
259	32	999	Statewide	33	Fluid power pump and motor manufacturing	32	333996	2.0	1.0
265	32	999	Statewide	33	Heavy duty truck manufacturing	32	336120	2.0	1.0
266	32	999	Statewide	33	Household cooking appliance manufacturing	32	335221	2.0	1.0
