	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
1	33	999	Statewide	11	Forest nurseries and gathering of forest products	33	1132	1.0	1.0
2	33	999	Statewide	11	Hunting and trapping	33	1142	1.0	1.0
5	33	999	Statewide	11	Support activities for crop production	33	1151	7.0	2.6
7	33	999	Statewide	11	Timber tract operations	33	1131	6.75	3.6
30	33	999	Statewide	31	Dairy product manufacturing	33	3115	17.0	7.6
35	33	999	Statewide	31	Grain and oilseed milling	33	3112	2.0	1.0
36	33	999	Statewide	31	Leather and hide tanning and finishing	33	3161	4.0	1.8
49	33	999	Statewide	32	Lime and gypsum product manufacturing	33	3274	4.5	2.4
76	33	999	Statewide	33	Electric lighting equipment manufacturing	33	3351	10.833333333333334	5.4
83	33	999	Statewide	33	Household appliance manufacturing	33	3352	2.0	1.0
85	33	999	Statewide	33	Iron and steel mills and ferroalloy manufacturing	33	3311	1.0	1.0
91	33	999	Statewide	33	Motor vehicle manufacturing	33	3361	2.0	1.0
98	33	999	Statewide	33	Other furniture related product manufacturing	33	3379	4.0	2.0
101	33	999	Statewide	33	Other transportation equipment manufacturing	33	3369	8.25	4.0
104	33	999	Statewide	33	Spring and wire product manufacturing	33	3326	5.0	2.2
111	33	999	Statewide	42	Farm product raw material merchant wholesalers	33	4245	3.0	1.8
154	33	999	Statewide	48	Deep sea, coastal, and great lakes water transportation	33	4831	3.0	1.3333333333333333
161	33	999	Statewide	48	Pipeline transportation of crude oil	33	4861	4.0	2.0
163	33	999	Statewide	48	Scenic and sightseeing transportation, land	33	4871	5.5	2.6
164	33	999	Statewide	48	Scenic and sightseeing transportation, other	33	4879	2.0	1.0
230	33	999	Statewide	61	Junior colleges	33	6112	8.0	3.0
247	33	999	Statewide	62	Psychiatric and substance abuse hospitals	33	6222	4.0	2.0
