	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
0	38	999	Statewide	11	Hunting and trapping	38	1142	5.0	1.8
9	38	999	Statewide	22	Natural gas distribution	38	2212	76.75	38.0
23	38	999	Statewide	31	Apparel accessories and other apparel manufacturing	38	3159	2.0	1.0
28	38	999	Statewide	31	Fiber, yarn, and thread mills	38	3131	1.0	1.0
32	38	999	Statewide	31	Other leather and allied product manufacturing	38	3169	3.0	1.0
34	38	999	Statewide	31	Sugar and confectionery product manufacturing	38	3113	14.5	7.2
35	38	999	Statewide	31	Textile and fabric finishing and fabric coating mills	38	3133	2.0	1.0
36	38	999	Statewide	31	Textile furnishings mills	38	3141	2.0	1.0
37	38	999	Statewide	31	Tobacco manufacturing	38	3122	1.0	1.0
40	38	999	Statewide	32	Clay product and refractory manufacturing	38	3271	7.5	3.2
41	38	999	Statewide	32	Converted paper product manufacturing	38	3222	6.0	3.0
42	38	999	Statewide	32	Glass and glass product manufacturing	38	3272	7.75	3.4
46	38	999	Statewide	32	Paint, coating, and adhesive manufacturing	38	3255	3.0	1.2
47	38	999	Statewide	32	Pesticide, fertilizer, and other agricultural chemical manufacturing	38	3253	2.0	1.0
48	38	999	Statewide	32	Petroleum and coal products manufacturing	38	3241	5.0	2.2
49	38	999	Statewide	32	Pharmaceutical and medicine manufacturing	38	3254	3.0	1.4
52	38	999	Statewide	32	Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing	38	3252	1.0	1.0
54	38	999	Statewide	32	Sawmills and wood preservation	38	3211	4.0	1.6
55	38	999	Statewide	32	Soap, cleaning compound, and toilet preparation manufacturing	38	3256	2.0	1.0
59	38	999	Statewide	33	Alumina and aluminum production and processing	38	3313	1.0	1.0
61	38	999	Statewide	33	Audio and video equipment manufacturing	38	3343	4.0	2.0
64	38	999	Statewide	33	Commercial and service industry machinery manufacturing	38	3333	4.0	1.4
66	38	999	Statewide	33	Computer and peripheral equipment manufacturing	38	3341	3.0	1.3333333333333333
68	38	999	Statewide	33	Electrical equipment manufacturing	38	3353	4.0	1.4
69	38	999	Statewide	33	Engine, turbine, and power transmission equipment manufacturing	38	3336	6.0	3.0
71	38	999	Statewide	33	Foundries	38	3315	1.0	1.0
77	38	999	Statewide	33	Metalworking machinery manufacturing	38	3335	1.0	1.0
79	38	999	Statewide	33	Motor vehicle manufacturing	38	3361	5.25	2.6
82	38	999	Statewide	33	Nonferrous metal (except aluminum) production and processing	38	3314	4.0	2.0
86	38	999	Statewide	33	Other furniture related product manufacturing	38	3379	2.0	1.0
89	38	999	Statewide	33	Other transportation equipment manufacturing	38	3369	7.0	1.75
92	38	999	Statewide	33	Steel product manufacturing from purchased steel	38	3312	4.0	1.4
93	38	999	Statewide	33	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	38	3334	7.25	3.0
141	38	999	Statewide	48	Deep sea, coastal, and great lakes water transportation	38	4831	2.0	1.0
144	38	999	Statewide	48	Interurban and rural bus transportation	38	4852	2.0	1.0
151	38	999	Statewide	48	Scenic and sightseeing transportation, land	38	4871	2.0	2.0
152	38	999	Statewide	48	Scenic and sightseeing transportation, water	38	4872	2.0	1.0
164	38	999	Statewide	51	Cable and other subscription programming	38	5152	4.0	1.6
171	38	999	Statewide	51	Satellite telecommunications	38	5174	1.0	1.0
173	38	999	Statewide	51	Sound recording industries	38	5122	9.0	4.2
182	38	999	Statewide	52	Other investment pools and funds	38	5259	5.0	1.4
234	38	999	Statewide	62	Psychiatric and substance abuse hospitals	38	6222	4.0	2.0
236	38	999	Statewide	62	Specialty (except psychiatric and substance abuse) hospitals	38	6223	4.0	2.0
