"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Forked River","ARGOSFARM","39.868775","-74.235929","ARGOS FARM","NJ","1250 Lacey Road","baked-goods canned preserved coffee tea crafts woodworking cut-flowers eggs herbs fresh-fruits fresh-vegetables honey juices ciders prepared-foods soap body-care","","farm","www.argosfarm.com","8731"
"Manahawkin","https://www.facebook.com/beachviewfarms","39.7301044","-74.2509139","Beach View Farms","NJ","178 Beachview Avenue","bedding plants crafts woodworking cut-flowers eggs herbs fresh-fruits fresh-vegetables honey nursery-stock","","farm","http://www.beachviewfarms.com","08050"
"Sussex","https://www.facebook.com/pages/Beemerville-Orchard/213134775374677","41.221728","-74.684056","Beemerville Orchard","NJ","73 Lusscroft Road","fresh-fruits fresh-vegetables honey","","farm","","07461"
"Flemington","","40.5057570","-74.8096800","Bills Figs","NJ","329 Old York Road","bedding plants","","farm","wmuzy@comcast.net","08822"
"Pennington","https://www.facebook.com/BlueMoonAcresFarm","40.3470090","-74.7878659","Blue Moon Acres: Certified Organic Farm and Market","NJ","11 Willow Creek Dr.","baked-goods bedding plants canned preserved coffee tea crafts woodworking cut-flowers dairy products eggs fish seafood herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products mushrooms nuts poultry fowl prepared-foods red-meat non-poultry-meat soap body-care tofu non-animal protein wild-harvested forest-products wine spirits beer hard-cider","https://twitter.com/bmacres","farm","www.bluemoonacres.com","08534"
"Milford","https://www.facebook.com/pages/Bobolink-Dairy-Bakehouse/203077189739087","40.5671520","-75.0624938","Bobolink (llc) Dairy","NJ","369 Stamets Rd","baked-goods canned preserved coffee tea dairy products eggs grains flour honey poultry fowl wild-harvested forest-products","","farm","cowsoutside. com","08848"
"Newton","","41.108451","-74.775249","Brodhecker Farm LLC","NJ","2 Branchville-Lawson Road","eggs pet-food poultry fowl red-meat non-poultry-meat","","farm","www.brodheckerfarms.com","07860"
"Flemington","https://www.facebook.com/pages/Burjans-Pumpkin-Festival/145110945523495","40.5259905","-74.7893106","Burjans Pumpkin Festival","NJ","524 Old York Rd","baked-goods canned preserved crafts woodworking fresh-fruits fresh-vegetables juices ciders prepared-foods","","farm","www.burjansfarm.com","8822"
"Lafayette","","41.115124","-74.686316","C & R Perfect Pick Farm","NJ","71 Beaver Run Road","eggs fresh-fruits fresh-vegetables","","farm","www.perfectpickfarm.com","07848"
"Lawrenceville ","https://www.facebook.com/pages/Cherry-Grove-Farm","40.308723","-74.712497","Cherry Grove Farm","NJ","3200 Lawrenceville Road (Route 206)","baked-goods canned preserved coffee tea crafts woodworking dairy products eggs herbs honey juices ciders maple-products poultry fowl prepared-foods red-meat non-poultry-meat soap body-care","https://www.twitter.com/cherrygrovefarm","farm","www.cherrygrovefarm.com","08648"
"Hampton","https://www.facebook.com/DancingWatersFarm","40.664299","-74.978229","Dancing Waters Farm","NJ","304 Hackett Rd.","eggs herbs fresh-vegetables","https://twitter.com/dancingwaters","farm","https://www.mohair-fiber.com/","08827"
"Hammonton","https://www.facebook.com/dimeofarms","39.640696","-74.726500","DiMeo Farms & Blueberry Plants Nursery","NJ","3101 Nesco Road","bedding plants canned preserved crafts woodworking fresh-fruits honey maple-products nursery-stock","http://twitter.com/dimeofarms","farm","http://www.DiMeoFarms.com","08037"
"Newark","facebook.com/greaternewarkconservancy","40.732757","-74.182151","Greater Newark Conservancy","NJ","138 Court St. ","eggs herbs fresh-fruits fresh-vegetables","","farm","www.citybloom.org","07103"
"Glen Gardner","","40.7046301","-74.9486274","Grochowicz Farm Market and Deli","NJ","2401 Route 31","canned preserved coffee tea crafts woodworking dairy products eggs fresh-vegetables honey maple-products poultry fowl prepared-foods red-meat non-poultry-meat soap body-care","","farm","www.grofarms.com","08826"
"Morristown","Grow It Green Morristown","40.806772","-74.476846","Grow It Green Urban Farm Stand","NJ","31 Hazel Street","eggs herbs fresh-vegetables","","farm","https://www.growitgreenmorristown.org/local-food-access","07960"
"Allamuchy","@GrowingDirt","40.922363","-74.81256","GrowingDirt.com, a farm at Agrestic Acres","NJ","51 Lenape lane","eggs fresh-vegetables honey poultry fowl red-meat non-poultry-meat","","farm","Www.growingdirt.com","07838"
"Manalapan","https://www.facebook.com/happydayfarmnj?ref=br_tf","40.2681312","-74.3791580","Happy Day Farm","NJ","97 Daum Road","","","farm","happydayfarmnj.com","7726"
"Monroeville","https://www.facebook.com/pages/Hayniczs-Orchardview-Farm-Market-and-Greenhouse/197438020269238?ref=br_tf","39.6445383","-75.1237256","Hayniczs Orchardview Farm Market and Greenhouse","NJ","1091 Elk Road - Corner Of Buck And Elk Roads","","","farm","www.hayniczorchardviewfarm.com","8343"
"Mullica Hill","Hillcreekfarms.com","39.707374","-75.263129","Hill Creek Farms","NJ","1631 State Highway #45","baked-goods canned preserved coffee tea crafts woodworking fresh-fruits fresh-vegetables honey juices ciders maple-products prepared-foods red-meat non-poultry-meat soap body-care","","farm","Hillcreekfarms.com","08062"
"MOORESTOWN","https://www.facebook.com/pages/Little-Hooves-Romneys/176597835758599","39.986156","-74.895029","Little Hooves Romneys","NJ","510 Centerton Rd","eggs","","farm","www.LittleHoovesRomneys.com","08057"
"Vernon","https://www.facebook.com/MountVernonFarms","41.175661","-74.489736","Mount Vernon Farms","NJ","418 Route 515","bedding plants nursery-stock","","farm","www.njtreefarmer.com","07462"
"Plumsted","https://www.facebook.com/pages/My-Poppys-Alpacas/147695915737","40.090669","-74.473712","My Poppy's Alpacas, LLC","NJ","59 Hopkins Rd.","","https://twitter.com/MyPoppysAlpacas","farm","http://www.mypoppysalpacas.com/","08533"
"Robbinsville","https://www.facebook.com/oasisfarm","40.201936","-74.634241","Oasis Family Farm","NJ","3 Circle Dr","bedding plants canned preserved dairy products eggs fresh-fruits fresh-vegetables honey juices ciders maple-products nursery-stock","","farm","www.oasisfamilyfarm.com","08691"
"Lawrenceville","","40.286432","-74.76173","Oasis Garden Center","NJ","87 Federal City Rd","","","farm","","8648"
"Phillipsburg","https://www.facebook.com/farmerandwife","40.6967860","-75.1618471","Perfect Christmas Tree Farm","NJ","999 H'way 22","","","farm","www.perfectchristmastree.com","08865"
"Cape May Court House","","39.489142","-75.04272","Stiles Farm and Nursery","NJ","172 South Delsea Drive Route 47","","","farm","","8210"
"Hopewell","","40.388164","-74.788613","Sweet Sourland Farms","NJ","90 Lambertville-Hopewell Rd.","honey maple-products red-meat non-poultry-meat soap body-care","90 Lambertville-Hopewell Rd.","farm","90 Lambertville-Hopewell Rd.","08525"
"Elk Township","https://www.facebook.com/pages/McCanns-Farm/62790046533?ref=hl","39.690294","-75.136814","The McCanns Farm","NJ","1065 Aura Rd","fresh-fruits fresh-vegetables honey","","farm","www.themccannsfarm.com","08343"
"columbus","https://www.facebook.com/The-Original-Columbus-Farm-and-Market-616834061703107/","40.074548","-74.748740","The Original Columbus Farm & Market","NJ","22975 columbus rd","cut-flowers fresh-fruits fresh-vegetables honey","","farm","","08022"
"LEESBURG","","39.251340","-74.976953","Tidewater Natural Farms","NJ","70 High Street","herbs fresh-vegetables","","farm","","08327"
"Monmouth Junction","https://www.facebook.com/VonThunFarms","40.379488","-74.529965","Von Thuns Country Farm Market","NJ","519 Ridge Road (Route 522)","baked-goods bedding plants canned preserved dry beans herbs fresh-fruits fresh-vegetables honey juices ciders nuts","VonThunFarms","farm","www.vonthunfarms.com","08852"
"Pittsgrove","www.facebook.com/pages/Weavers-Farm-Market","39.528862","-75.099947","Weaver's Farm Market","NJ","759 Garden Rd","bedding plants canned preserved crafts woodworking cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products mushrooms nuts","","farm","","08318"
"Newton","https://www.facebook.com/windybrowfarms","41.038576","-74.781489","Windy Brow Farms","NJ","359 Rt 519","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders red-meat non-poultry-meat soap body-care","https://twitter.com/windybrowfarms","farm","www.windybrowfarms.com","07860"
"Highlands","https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770","40.404837","-73.994358","26th Annual Highlands Business Partnership's Farmers Market","NJ","71 Waterwitch Avenue","organic baked goods cheese crafts flowers eggs herbs vegetables honey jams nuts plants soap fruits juices wild","","market","http://www.highlandsnj.com","07732"
"Toms River","http://www.facebook.com/AGFarmersMarket","39.992509","-74.207478","AG Farmers' Market","NJ","108 Indian Head Road","organic baked goods crafts herbs vegetables honey jams plants prepared-foods soap trees coffee fruits juices pet food","http://twitter.com/AGFarmMarket","market","http://AGFarmersMarket.com","08753"
