Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Jun 23rd, 2021",default-farmersmarket-4-3.jpg,301545,Wagoner Farmers Market,,Carol Jones,wagonermarket@gmail.com,918-844-5493,,@wagonermarket,,,,,,"115 S Main Street , Wagoner , Oklahoma 74467",Oklahoma,Wagoner,115 S Main Street,74467,-95.379596,35.963528,April to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Honey, Mushrooms, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products, Wine, spirits, beer, hard cider"
farmers market,"Jun 25th, 2020",default-farmersmarket-4-3.jpg,301145,Paseo Farmers Market,,Megan Sisco,paseofarmersmarket@gmail.com,405-476-8932,www.paseofarmersmarket.com,paseofarmersmkt,,,,,,"3100 N Walker Ave, Oklahoma City, Oklahoma 73103",Oklahoma,Oklahoma City,3100 N Walker Ave,73103,-97.524820,35.501891,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Mushrooms, Nursery stock, Nuts, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312369,Bixby Farmer's Market,,,,,http://www.bixbyfarmersmarket.com,,,,,,,"50 W. Dawes Bixby, OK 74008 Located at the newly renovated Charley Young Event Park between Dawes and Breckenridge in Downtown Bixby, OK.",Oklahoma,BIXBY,50 W DAWES AVE,74008,-95.88386898519266,35.94236437904529,,
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312370,Canadian River Farmstand & Community Market,,,CanadianRiverWinery@gmail.com,405-872-5565,http://www.canadianriverwinery.net/farmstand---community-market.html,,,,,,,"7050 Slaughterville Rd., Slaughterville, OK, 73051",Oklahoma,Slaughterville,7050 Slaughterville Rd.,73051,-97.33817335979067,35.08738575386908,,
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312371,Cashion Farmers' Market,,,,405-433-2243,,,,,,,,"116 S. Main St., Cashion, OK, 73016",Oklahoma,Cashion,116 S. Main St.,73016,-97.6790616764433,35.798626013419764,,
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312372,Cherokee Farmers' Market,,,,580-596-6111,http://www.cherokeemainstreet.org/menu/,,,,,,,"121 E. Main St., Cherokee, OK, 73728",Oklahoma,Cherokee,121 E. Main St.,73728,-98.35686004816043,36.757784747502825,,
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312373,Cherry Street Farmers' Market,,,info@tulsafarmersmarket.org,918-789-3881,http://www.cherrystreetfarmersmarket.com,https://www.facebook.com/cherrystreetfarmersmarketassociation,,,,,,"1327 E. 15th St. , The Cherry Street District, Tulsa, OK, 74120",Oklahoma,Tulsa,1327 E. 15th St.,74120,-95.9742628746402,36.14065728691063,,
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312374,City of Moore Farmers' Market,,,,405-793-5090,,,,,,,,"301 S. Howard, Moore, OK, 73160",Oklahoma,Moore,301 S. Howard,73160,-97.48836398182277,35.33646345569217,,
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312375,Claremore Farmers' Market,,,mcw352@netzero.com,918-284-4668,,https://www.facebook.com/ClaremoreFarmersMarket,,,,,,"200 S. Lynn Riggs Blvd., Claremore, OK, 74017",Oklahoma,Claremore,200 S. Lynn Riggs Blvd.,74017,-95.61715503423794,36.3106978193351,,
farmers market,"Mar 27th, 2023",default-farmersmarket-4-3.jpg,312376,Cleveland Farmers' Market,,,,918-358-2131,http://www.chamberofclevelandok.com/,,,,,,,"101 E. Pawnee, Cleveland, OK, 74020",Oklahoma,Cleveland,101 E. Pawnee,74020,-96.46325574973578,36.31008968971088,,
