"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Wilmington","https://www.facebook.com/pages/Adams-Farm-Wilmington-Vermont/69664848032","42.9048500","-72.8498080","Adams Farm and Meat Processing Shop","VT","15 Higley Hill","canned preserved coffee tea eggs grains flour maple-products pet-food poultry fowl red-meat non-poultry-meat soap body-care","","farm","http://adamsfamilyfarm.com","05363"
"Craftsbury","","44.6628950","-72.4143300","Browns Beautiful Blueberries","VT","493 Coburn Hill Road","","","farm","","5827"
"Berlin","","44.210772","-72.640011","Burelli Farm","VT","567 Muzzy Road","poultry fowl","","farm","www.burellifarm.com","05602"
"Cabot","www.facebook.com/burtts.appleorchard","44.420976","-72.291750","Burtt's Apple Orchard","VT","283 Cabot Plains Rd","baked-goods fresh-fruits fresh-vegetables juices ciders maple-products","","farm","www.burttsappleorchard.com","5647"
"Windsor","https://www.facebook.com/pages/Contented-Butterfly-Farm/142144959139880","43.4587519","-72.4132690","Contented Butterfly Farm","VT","467 Sunset Lane","crafts woodworking eggs red-meat non-poultry-meat","https://twitter.com/contentedsheep","farm","http://contentedbutterflyfarm.com/","05089"
"Montgomery","https://www.facebook.com/creamerybridgefarm","44.866276","-72.644756","Creamery Bridge Farm","VT","2534 Hill West Road","fresh-vegetables wild-harvested forest-products","","farm","Creamerybridgefarm.com","05471"
"Weathersfield","","43.384782","-72.433193","Goulden Ridge Farm","VT","1462 Goulden Ridge Road","fresh-fruits nursery-stock","","farm","gouldenridgefarm.com","05156"
"Cabot","https://www.facebook.com/gozzardcity","44.4086150","-72.2901459","Gozzard City at Provender Farm","VT","34 Langone Road","poultry fowl","","farm","getyourgoose.com","5647"
"South Royalton","https://www.facebook.com/HurricaneFlats","43.8096690","-72.5098749","Hurricane Flats","VT","975 S. Windsor St","fresh-fruits fresh-vegetables","","farm","www.hurricaneflats.com","05068"
"New Haven","https://www.facebook.com/LesterFarmProduce","44.081882","-73.176670","Lester Farm and Market","VT","2297 Ethan Allen Highway (route 7)","baked-goods canned preserved cut-flowers dairy products dry beans eggs herbs fresh-fruits fresh-vegetables grains flour honey maple-products nuts","","farm","contact@lesterfarmmarket.com","5472"
"Rochester","http://www.facebook.com/MomAndPopsMaple","43.8546987","-72.8658430","Mom & Pop's World's Best Vermont Maple Syrup","VT","3425 Brandon Mountain Road","maple-products","http://twitter.com/MomAndPopsMaple","farm","http://www.MomAndPopsMaple.com","05767"
"Westford","https://www.facebook.com/pages/Morse-Hillside-Farm/116904021679356","44.564191","-72.999891","Morse Hillside Farm","VT","681 Osgood Hill Road","canned preserved fresh-fruits","","farm","www Morse  Hillside Farm .com","5494"
"Brandon","https://www.facebook.com/pages/Noahs-Ark-Eggs/351171895026492?ref=bookmarks","43.831267","-73.060414","Noah's Ark Eggs","VT","17 Burke Park Rd.","eggs","","farm","","05733"
"Calais","","44.393099","-72.490576","Random Gardens","VT","177 Random Road","fresh-fruits mushrooms wild-harvested forest-products","","farm","http://www.randomgardens.com/","5648"
"Walden","","44.4646851","-72.102151","Square Deal Farm","VT","362 Woodward Road","maple-products red-meat non-poultry-meat","","farm","squaredealfarm.org","05843"
"Mansfield","","44.6058024","-72.641413","The Farm at Morrison Corner","VT","Luce Hill","crafts woodworking pet-food","https://www.twitter.com/Outlander_Adv","farm","http://www.WoolAndFeathers.com","5672"
"Washington","https://www.facebook.com/pages/The-Farm-of-Milk-and-Honey/472558206183989","44.040666","-72.454976","The Farm of Milk and Honey","VT","663 Doyle Road","dairy products honey","","farm","www.farmofmilkandhoney.com","05675"
"Bristol","last resort farm","44.266250","-73.098989","The Last Resort Farm","VT","2246 Tyler Bridge Rd.","canned preserved dry beans eggs fresh-fruits fresh-vegetables","","farm","www.lastresortfarm.com","05443"
"Franklin","https://www.facebook.com/WanderingMooseFarms","44.9637490","-72.8954700","Wandering Moose Farms","VT","1579 Riley Rd","baked-goods canned preserved eggs herbs fresh-vegetables","","farm","http://wanderingmoosefarms.com","05457"
"Vergennes","https://www.facebook.com/pickyourownapples802","44.1632800","-73.2318420","Woodman Hill Orchard","VT","175 Plank Road","baked-goods canned preserved juices ciders maple-products","","farm","","05491"
"Danville","https://www.facebook.com/Danville.VT.Farmers.Market/","44.411036","-72.140337"," Caledonia Farmers Market Association - Danville","VT","","organic baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat poultry prepared-foods soap trees coffee beans fruits mushrooms pet food","","market","https://www.caledoniafarmersmarket.com","05828"
"Arlington","https://www.facebook.com/Market05250","43.072884","-73.146078","Arlington Village Farmers Market","VT","3904 VT-7A","baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat nuts plants poultry prepared-foods soap coffee fruits mushrooms wild","","market","https://www.arlington-vermont.com/farmers-market","05250"
"Brattleboro","https://www.facebook.com/pages/Brattleboro-Area-Farmers-Market/197642043604505","42.849900","-72.584070","Brattleboro Area Farmers' Market","VT","570 Western Ave.","organic baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods soap wine coffee beans fruits juices mushrooms wild","","market","http://www.brattleborofarmersmarket.com","05301"
"Brattleboro ","//www.facebook.com/BrattleboroWinterFarmersMarket","42.850844","-72.560166","Brattleboro WInter Farmers' Market","VT","80 Flat St.","organic baked goods cheese crafts eggs herbs vegetables honey jams maple meat poultry prepared-foods soap coffee fruits juices wild","//twitter.com/BrattWinterMkt","market","http://www.brattleborowinterfarmersmarket.org","05301"
"Burlington","https://www.facebook.com/BurlingtonFarmersMarketVT","44.469730","-73.215415","Burlington Farmers Market","VT","345 Pine Street","organic baked goods cheese crafts flowers eggs seafood herbs vegetables honey jams maple meat nuts plants poultry prepared-foods soap wine coffee beans fruits juices mushrooms pet food tofu wild","","market","https://www.burlingtonfarmersmarket.org/","05401"
"St. Johnsbury","https://www.facebook.com/St.J.Farmers.Market/","44.417224","-72.016831","Caledonia Farmers Market Association - Winter","VT","Pearl St","organic baked goods cheese crafts flowers eggs seafood herbs vegetables honey jams maple meat poultry prepared-foods soap wine coffee beans fruits","","market","https://www.caledoniafarmersmarket.com/","05819"
"South Hero","https://www.facebook.com/ChamplainIslandsFarmersMarket/","44.661841","-73.323048","Champlain Islands Farmers' Market - Wednesday","VT","501 U.S Route 2","organic baked goods crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods wine fruits","","market","https://champlainislandsfarmersmarket.org/","05486"
"Chelsea","https://www.facebook.com/chelseafarmersmarket","43.98878","-72.44747","Chelsea Farmers' Market","VT","Corner of Rte 110 and Rte 113","baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods soap coffee fruits juices mushrooms","","market","http://www.chelseafarmersmarket.org","05038"
"Fair Haven","The Vermont Farmers Market","43.594490","-73.266531","Fair Haven Market (hosted by The Vermont Farmers Market","VT","On The Green","baked goods crafts eggs vegetables honey jams maple plants poultry fruits","@VFMRutland","market","https://vtfarmersmarket.org/","05777"
"Middlebury","Middlebury Farmers Market","44.026734","-73.169908","Middlebury Farmers' Market","VT","530 Exchange St","baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods soap beans fruits juices","","market","","05753"
"Peacham","https://m.facebook.com/PeachamFarmersMarket/","44.327445","-72.170037","Peacham Farmers Market","VT","555 Bayley Hazen Road","baked goods cheese crafts vegetables jams maple meat poultry prepared-foods fruits","","market","http://www.peachamfarmersmarket.com/","05862"
"Stowe","https://www.facebook.com/stowefarmersmarket","44.473531","-72.712004","Stowe Farmers' Market","VT","1799 Mountain Road","organic baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods soap wine coffee fruits juices mushrooms wild","","market","http://www.stowefarmersmarket.com","05672"
"Londonderry","@westriverfarmersmarket","43.228259","-72.821619","The West River Farmers Market","VT","2242 N. Main St.","organic baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods soap trees coffee beans fruits grains juices mushrooms wild","","market","http://westriverfarmersmarket.com","05148"
"West Townshend","Townshend Farmers Market","43.084256","-72.711717","Townshend Farmers Market","VT","6573 Route 30","baked goods crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods soap coffee fruits juices mushrooms wild","","market","","05359"
