	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	GEO_ID	estab	emp_reported	payann_reported	emp_est1	payann_est1	estimate_est1	emp_est3	payann_est3	estimate_est3
0	15001	15	1	Hawaii County	1133	Logging	11	0500000US15001	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
1	15001	15	1	Hawaii County	1141	Fishing	11	0500000US15001	3.0	0.0	0.0	-11.4	-284.4	1.0	-11.4	-284.4	1.0
2	15001	15	1	Hawaii County	1141	Fishing	11	0500000US15001	3.0	0.0	0.0	-11.4	-284.4	1.0	12.304135338345864	619.1800751879699	1.0
3	15001	15	1	Hawaii County	1141	Fishing	11	0500000US15001	3.0	0.0	0.0	10.6375	712.5125	1.0	-11.4	-284.4	1.0
4	15001	15	1	Hawaii County	1141	Fishing	11	0500000US15001	3.0	0.0	0.0	10.6375	712.5125	1.0	12.304135338345864	619.1800751879699	1.0
5	15001	15	1	Hawaii County	1151	Support activities for crop production	11	0500000US15001	2.0	0.0	0.0	89.33333333333333	728.0	1.0	89.33333333333333	728.0	1.0
6	15001	15	1	Hawaii County	1151	Support activities for crop production	11	0500000US15001	2.0	0.0	0.0	89.33333333333333	728.0	1.0	32.333333333333336	797.0	0.5
7	15001	15	1	Hawaii County	1151	Support activities for crop production	11	0500000US15001	2.0	0.0	0.0	24.0	580.0	0.5	89.33333333333333	728.0	1.0
8	15001	15	1	Hawaii County	1151	Support activities for crop production	11	0500000US15001	2.0	0.0	0.0	24.0	580.0	0.5	32.333333333333336	797.0	0.5
9	15001	15	1	Hawaii County	1152	Support activities for animal production	11	0500000US15001	3.0	0.0	163.0	0.0	163.0	0.0	0.0	163.0	0.0
10	15001	15	1	Hawaii County	1152	Support activities for animal production	11	0500000US15001	3.0	0.0	163.0	0.0	163.0	0.0	5.6190476190476195	123.24801587301586	0.8333333333333334
11	15001	15	1	Hawaii County	1152	Support activities for animal production	11	0500000US15001	3.0	0.0	163.0	7.0	158.72916666666666	0.75	0.0	163.0	0.0
12	15001	15	1	Hawaii County	1152	Support activities for animal production	11	0500000US15001	3.0	0.0	163.0	7.0	158.72916666666666	0.75	5.6190476190476195	123.24801587301586	0.8333333333333334
